,patch,result,position,year,playoffs,game,playerid,gamelength,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,Cluster
0,8.01,0,bot,2018.0,0.0,1.5460526315789473,6.7631578947368425,2142.3903508771928,1.8859649122807018,2.3903508771929824,2.5460526315789473,6.517543859649122,14.232456140350877,0.16228070175438597,0.03508771929824561,0.0,0.0,0.12280701754385964,0.05043859649122807,0.07236842105263158,0.08552631578947369,0.17867785087719315,0.5951752192982456,,,,,,,,,,,,,,,,,,,,,,,,0.07225433526011561,0.7052023121387283,19328.662280701756,513.3725962719299,0.2930630405701754,343.3443677631579,420.5411684971098,14.824561403508772,0.4103947368421053,14.339912280701755,0.3838517543859651,2.7741228070175437,43.213872832369944,1.1437921965317919,14501.638157894737,9855.554824561403,270.981816885965,0.2556802149122807,13978.241228070176,,359.7763157894737,338.7675438596491,21.00877192982456,15.81140350877193,1.412280701754386,10.00309846491228,3525.0065789473683,3177.5679824561403,87.81359649122807,3663.504385964912,3247.7587719298244,89.4407894736842,-138.49780701754386,-70.1907894736842,-1.6271929824561404,0.1162280701754386,0.125,0.20175438596491227,0.23903508771929824,0.29605263157894735,0.10964912280701754,5498.6359649122805,5268.087719298245,140.76315789473685,5824.94298245614,5414.875,144.39254385964912,-326.3070175438597,-146.78728070175438,-3.629385964912281,0.28728070175438597,0.4232456140350877,0.4298245614035088,0.5197368421052632,0.7456140350877193,0.25877192982456143,Cluster 0
10,8.02,0,bot,2018.0,0.0,1.4410774410774412,6.592592592592593,2174.949494949495,2.090909090909091,2.6464646464646466,2.734006734006734,6.9326599326599325,14.666666666666666,0.2053872053872054,0.037037037037037035,0.003367003367003367,0.0,0.18855218855218855,0.08754208754208755,0.10101010101010101,0.11447811447811448,0.18731212121212126,0.6111814814814812,,,,,,,,,,,,,,,,,,,,,,,,0.08064516129032258,0.7661290322580645,19012.616161616163,499.09153939393985,0.2827711043771043,365.99008552188576,283.48353669354833,14.131313131313131,0.38886329966329974,13.946127946127946,0.3663511784511786,3.5117845117845117,42.12903225806452,1.1188689516129027,14329.363636363636,9616.882154882154,259.38352121212114,0.2660321851851852,13712.659932659933,,362.2020202020202,342.18518518518516,20.016835016835017,14.747474747474747,1.3602693602693603,9.89007441077441,3364.0875420875423,3180.5117845117843,87.38383838383838,3512.9427609427607,3251.026936026936,90.42424242424242,-148.85521885521885,-70.51515151515152,-3.04040404040404,0.12457912457912458,0.18181818181818182,0.22895622895622897,0.28619528619528617,0.28619528619528617,0.12121212121212122,5267.649831649832,5237.845117845118,139.52861952861952,5652.737373737374,5420.131313131313,145.34343434343435,-385.0875420875421,-182.2861952861953,-5.814814814814815,0.32996632996632996,0.48148148148148145,0.5252525252525253,0.6430976430976431,0.7575757575757576,0.26936026936026936,Cluster 0
20,8.03,0,bot,2018.0,0.0,1.4188790560471976,6.684365781710914,2157.4306784660766,2.1327433628318584,2.504424778761062,2.702064896755162,6.793510324483776,14.678466076696164,0.2448377581120944,0.032448377581120944,0.008849557522123894,0.0,0.168141592920354,0.08849557522123894,0.07964601769911504,0.061946902654867256,0.18370855457227125,0.6075970501474929,,,,,,,,,,,,,,,,,,,,,,,,0.058997050147492625,0.8053097345132744,19632.587020648967,521.605992920354,0.2940370999999999,366.53817168141586,282.10947758112115,15.1976401179941,0.42085191740412936,14.117994100294986,0.37817345132743385,4.31858407079646,43.365781710914455,1.164687020648967,14189.362831858407,9512.589970501474,260.2982769911501,0.26723054572271404,13643.233038348082,,357.3274336283186,337.11504424778764,20.212389380530972,14.861356932153392,1.0884955752212389,9.878600884955748,3393.6666666666665,3180.828908554572,87.22418879056048,3516.368731563422,3252.8466076696163,90.20058997050147,-122.70206489675516,-72.01769911504425,-2.976401179941003,0.16519174041297935,0.18289085545722714,0.19469026548672566,0.25958702064896755,0.30973451327433627,0.12684365781710916,5311.100294985251,5249.0855457227135,139.9439528023599,5594.168141592921,5421.7020648967555,144.6489675516224,-283.0678466076696,-172.6165191740413,-4.705014749262537,0.3952802359882006,0.45132743362831856,0.40707964601769914,0.5634218289085545,0.7433628318584071,0.24778761061946902,Cluster 0
30,8.04,0,bot,2018.0,0.0,1.4973958333333333,6.630208333333333,2081.4114583333335,2.0651041666666665,2.5833333333333335,2.7239583333333335,6.9921875,14.6640625,0.171875,0.018229166666666668,0.005208333333333333,0.0,0.12760416666666666,0.0625,0.06510416666666667,0.11458333333333333,0.194784375,0.6350052083333333,,,,,,,,,,,,,,,,,,,,,,,,0.08734939759036145,0.8162650602409639,18468.247395833332,503.96122604166686,0.29660135416666644,360.59061432291657,275.09108825301223,14.153645833333334,0.40960286458333345,12.005208333333334,0.33079765625,4.130208333333333,38.647590361445786,1.0819009036144585,13580.596354166666,9058.911458333334,255.1660684895833,0.2648476848958332,13149.013020833334,,340.2421875,320.1927083333333,20.049479166666668,14.9765625,1.0625,9.72046796875,3336.3125,3152.2395833333335,85.05208333333333,3504.7994791666665,3236.9036458333335,88.71354166666667,-168.48697916666666,-84.6640625,-3.6614583333333335,0.16927083333333334,0.25,0.3255208333333333,0.3385416666666667,0.4036458333333333,0.13802083333333334,5246.494791666667,5228.473958333333,137.13802083333334,5624.200520833333,5429.359375,142.95052083333334,-377.7057291666667,-200.88541666666666,-5.8125,0.4192708333333333,0.5989583333333334,0.6302083333333334,0.6875,0.9244791666666666,0.3333333333333333,Cluster 0
40,8.05,0,bot,2018.0,0.3295964125560538,1.9237668161434978,6.762331838565022,2066.3026905829597,2.311659192825112,2.795964125560538,2.782511210762332,7.4641255605381165,15.81390134529148,0.25112107623318386,0.02466367713004484,0.006726457399103139,0.0,0.1591928251121076,0.07847533632286996,0.08071748878923767,0.1210762331838565,0.211185201793722,0.6881322869955163,,,,,,,,,,,,,,,,,,,,,,,,0.06027397260273973,0.8191780821917808,19239.280269058298,533.5018661434974,0.30221720179372197,382.6426917040359,250.83587945205457,14.026905829596412,0.40883004484304947,11.181614349775785,0.311577130044843,4.271300448430493,37.25205479452055,1.0522235616438356,13515.585201793721,9024.737668161435,256.8028587443946,0.2690374282511212,12992.645739910315,,335.9260089686099,316.10762331838566,19.818385650224215,15.060538116591928,0.9035874439461884,9.678822197309419,3356.5448430493275,3150.134529147982,85.43497757847534,3501.607623318386,3241.3497757847535,88.18385650224215,-145.0627802690583,-91.2152466367713,-2.7488789237668163,0.2040358744394619,0.2533632286995516,0.2982062780269058,0.36771300448430494,0.3991031390134529,0.16367713004484305,5269.896860986547,5204.251121076233,136.81614349775785,5623.878923766816,5420.125560538117,141.804932735426,-353.9820627802691,-215.8744394618834,-4.988789237668161,0.4641255605381166,0.6121076233183856,0.6143497757847534,0.7869955156950673,1.0448430493273542,0.35201793721973096,Cluster 0
50,8.06,0,bot,2018.0,0.4584837545126354,2.0974729241877257,6.617328519855596,2059.115523465704,2.3501805054151625,2.7148014440433212,2.700361010830325,7.368231046931408,15.205776173285198,0.20938628158844766,0.02888086642599278,0.010830324909747292,0.0,0.1263537906137184,0.05776173285198556,0.06859205776173286,0.10469314079422383,0.2079043321299638,0.6663111913357396,,,,,,,,,,,,,,,,,,,,,,,,0.08235294117647059,0.7137254901960784,18225.353790613717,509.9639537906136,0.29913712635379075,391.6123093862816,246.73719019607842,13.971119133574007,0.40753429602888097,11.321299638989169,0.3123205776173285,4.1985559566787005,37.819607843137256,1.0675894117647058,13513.6678700361,9037.462093862816,257.90487292418806,0.26862963537906137,13046.916967509025,,337.3429602888087,314.927797833935,22.415162454873645,17.09025270758123,0.9891696750902527,9.763605054151617,3362.0938628158847,3191.8194945848377,86.5667870036101,3481.126353790614,3238.0216606498193,88.77617328519855,-119.03249097472924,-46.20216606498195,-2.2093862815884475,0.18411552346570398,0.20216606498194944,0.22382671480144403,0.3140794223826715,0.26353790613718414,0.13357400722021662,5271.7256317689535,5222.296028880866,137.59205776173286,5612.740072202166,5404.252707581228,142.5884476534296,-341.014440433213,-181.956678700361,-4.996389891696751,0.4584837545126354,0.49458483754512633,0.5379061371841155,0.7472924187725631,0.8447653429602888,0.2815884476534296,Cluster 0
60,8.07,0,bot,2018.0,0.0,2.3333333333333335,6.222222222222222,2010.2222222222222,0.8888888888888888,1.8888888888888888,3.0,6.333333333333333,13.777777777777779,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1829333333333333,0.6037,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,1.2222222222222223,21084.88888888889,595.1170333333333,0.31926211111111114,330.15558888888893,233.30341111111113,15.666666666666666,0.4607333333333334,6.888888888888889,0.18711111111111112,4.222222222222222,33.77777777777778,0.9810888888888888,12466.888888888889,8090.222222222223,234.5679,0.2576466666666667,11937.0,,321.0,307.77777777777777,13.222222222222221,11.333333333333334,0.0,9.563577777777779,3216.0,3021.3333333333335,82.11111111111111,3498.8888888888887,3208.1111111111113,91.66666666666667,-282.8888888888889,-186.77777777777777,-9.555555555555555,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.0,5090.222222222223,5083.555555555556,135.33333333333334,5668.555555555556,5270.888888888889,144.33333333333334,-578.3333333333334,-187.33333333333334,-9.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.1111111111111111,Cluster 0
70,8.08,0,bot,2018.0,0.0,1.44,6.65,1992.68,2.43,2.92,3.05,8.06,16.46,0.22,0.05,0.01,0.01,0.17,0.07,0.1,0.15,0.24026999999999993,0.7539610000000002,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.8,17904.1,513.3760799999999,0.30477836999999997,384.9641059999998,270.618398,13.85,0.41719399999999995,11.04,0.318446,4.23,36.78,1.075489,13343.47,9002.84,265.66878900000006,0.27482901999999987,12852.18,,328.8,306.56,22.24,16.4,1.18,9.790590000000003,3361.47,3194.99,82.99,3565.58,3267.78,85.65,-204.11,-72.79,-2.66,0.33,0.43,0.37,0.49,0.61,0.26,5298.32,5276.77,134.08,5763.11,5518.05,138.87,-464.79,-241.28,-4.79,0.63,0.77,0.63,0.97,1.13,0.48,Cluster 0
80,8.09,0,bot,2018.0,0.0,1.0,7.333333333333333,2060.0,3.6666666666666665,3.3333333333333335,5.333333333333333,9.666666666666666,16.666666666666668,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.27666666666666667,0.7712333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,16520.666666666668,480.1587,0.2726756666666667,423.95256666666666,256.80536666666666,14.0,0.40553333333333336,3.6666666666666665,0.10973333333333334,4.666666666666667,26.333333333333332,0.7612666666666666,13599.666666666666,9121.333333333334,263.23303333333337,0.28590200000000004,12444.333333333334,,311.0,289.3333333333333,21.666666666666668,21.333333333333332,0.0,9.0392,3111.3333333333335,2916.6666666666665,74.66666666666667,3365.6666666666665,2919.6666666666665,75.0,-254.33333333333334,-3.0,-0.3333333333333333,0.0,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,4868.666666666667,4716.666666666667,115.33333333333333,5761.333333333333,4990.333333333333,126.0,-892.6666666666666,-273.6666666666667,-10.666666666666666,0.0,1.6666666666666667,1.0,1.6666666666666667,2.0,0.6666666666666666,Cluster 2
90,8.1,0,bot,2018.0,0.0,1.0,6.142857142857143,2064.0,3.2857142857142856,3.857142857142857,4.857142857142857,13.428571428571429,19.571428571428573,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.3791285714285714,0.9562,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,1.1428571428571428,14951.857142857143,427.5086285714286,0.25206871428571426,366.8432428571428,258.69935714285714,11.428571428571429,0.33890000000000003,6.142857142857143,0.1813,3.7142857142857144,31.142857142857142,0.9201571428571429,13578.42857142857,9092.142857142857,262.15040000000005,0.25964385714285715,12575.714285714286,,319.42857142857144,299.2857142857143,20.142857142857142,18.857142857142858,0.5714285714285714,9.227242857142858,3207.0,2974.4285714285716,81.71428571428571,3585.4285714285716,3064.4285714285716,82.0,-378.42857142857144,-90.0,-0.2857142857142857,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.0,5112.714285714285,4840.857142857143,127.57142857142857,5854.857142857143,5321.142857142857,138.85714285714286,-742.1428571428571,-480.2857142857143,-11.285714285714286,0.5714285714285714,0.8571428571428571,1.1428571428571428,1.4285714285714286,0.8571428571428571,0.42857142857142855,Cluster 1
