,patch,result,position,year,playoffs,game,playerid,gamelength,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,Cluster
5,8.01,1,bot,2018.0,0.0,1.5460526315789473,6.2368421052631575,2142.3903508771928,4.464912280701754,0.9802631578947368,6.092105263157895,14.230263157894736,6.532894736842105,0.6864035087719298,0.15570175438596492,0.03728070175438596,0.008771929824561403,0.24780701754385964,0.1162280701754386,0.13157894736842105,0.05043859649122807,0.41650000000000026,0.5951752192982456,,,,,,,,,,,,,,,,,,,,,,,,0.7052023121387283,0.07225433526011561,24011.60087719298,661.1788054824567,0.30757503070175435,307.6043600877194,417.2217852601161,15.62280701754386,0.4443416666666662,16.50219298245614,0.44215899122807006,3.199561403508772,50.8757225433526,1.3705410404624274,17132.74342105263,12486.660087719298,350.52160328947383,0.25047612719298246,15231.223684210527,,372.19736842105266,342.7127192982456,29.484649122807017,17.17543859649123,5.1535087719298245,10.359959649122798,3663.504385964912,3247.7587719298244,89.4407894736842,3525.0065789473683,3177.5679824561403,87.81359649122807,138.49780701754386,70.1907894736842,1.6271929824561404,0.23903508771929824,0.29605263157894735,0.10964912280701754,0.1162280701754386,0.125,0.20175438596491227,5824.94298245614,5414.875,144.39254385964912,5498.6359649122805,5268.087719298245,140.76315789473685,326.3070175438597,146.78728070175438,3.629385964912281,0.5197368421052632,0.7456140350877193,0.25877192982456143,0.28728070175438597,0.4232456140350877,0.4298245614035088,Cluster 1
15,8.02,1,bot,2018.0,0.0,1.4410774410774412,6.407407407407407,2174.949494949495,4.898989898989899,1.1919191919191918,5.801346801346801,14.65993265993266,6.94949494949495,0.8653198653198653,0.21548821548821548,0.04713804713804714,0.003367003367003367,0.24579124579124578,0.13804713804713806,0.10774410774410774,0.06397306397306397,0.42386868686868706,0.6111814814814812,,,,,,,,,,,,,,,,,,,,,,,,0.7661290322580645,0.08064516129032258,24062.939393939392,653.5880925925932,0.3022371942760944,328.40655050505023,276.47317499999986,14.030303030303031,0.3916468013468015,15.474747474747474,0.41422020202020204,3.5824915824915826,47.528225806451616,1.2929548387096772,17069.478114478115,12356.996632996634,343.4037097643097,0.26123275420875414,15110.609427609428,,377.4882154882155,345.026936026936,32.46127946127946,18.13131313131313,5.6767676767676765,10.403968350168345,3512.9427609427607,3251.026936026936,90.42424242424242,3364.0875420875423,3180.5117845117843,87.38383838383838,148.85521885521885,70.51515151515152,3.04040404040404,0.28619528619528617,0.28619528619528617,0.12121212121212122,0.12457912457912458,0.18181818181818182,0.22895622895622897,5652.737373737374,5420.131313131313,145.34343434343435,5267.649831649832,5237.845117845118,139.52861952861952,385.0875420875421,182.2861952861953,5.814814814814815,0.6430976430976431,0.7575757575757576,0.26936026936026936,0.32996632996632996,0.48148148148148145,0.5252525252525253,Cluster 1
25,8.03,1,bot,2018.0,0.0,1.4188790560471976,6.315634218289086,2157.4306784660766,4.988200589970502,1.0235988200589972,5.991150442477876,14.660766961651918,6.825958702064897,0.775811209439528,0.1976401179941003,0.06784660766961652,0.02359882005899705,0.2536873156342183,0.11504424778761062,0.13864306784660768,0.0471976401179941,0.42389144542772916,0.6075970501474929,,,,,,,,,,,,,,,,,,,,,,,,0.8053097345132744,0.058997050147492625,24368.882005899704,664.0755625368731,0.3069547814159289,315.6547616519173,293.4971162241887,15.348082595870206,0.42739026548672565,15.32448377581121,0.41431504424778776,4.660766961651918,49.54867256637168,1.350825073746313,17013.253687315635,12336.480825958703,344.73239174041294,0.26244166076696157,14971.96755162242,,374.23598820059,343.23893805309734,30.997050147492626,16.654867256637168,5.855457227138643,10.407570501474918,3516.368731563422,3252.8466076696163,90.20058997050147,3393.6666666666665,3180.828908554572,87.22418879056048,122.70206489675516,72.01769911504425,2.976401179941003,0.25958702064896755,0.30973451327433627,0.12684365781710916,0.16519174041297935,0.18289085545722714,0.19469026548672566,5594.168141592921,5421.7020648967555,144.6489675516224,5311.100294985251,5249.0855457227135,139.9439528023599,283.0678466076696,172.6165191740413,4.705014749262537,0.5634218289085545,0.7433628318584071,0.24778761061946902,0.3952802359882006,0.45132743362831856,0.40707964601769914,Cluster 1
35,8.04,1,bot,2018.0,0.0,1.4973958333333333,6.369791666666667,2081.4114583333335,5.0703125,1.0598958333333333,5.861979166666667,14.6484375,7.002604166666667,0.8489583333333334,0.1953125,0.041666666666666664,0.010416666666666666,0.2578125,0.11979166666666667,0.13802083333333334,0.059895833333333336,0.440221354166667,0.6350052083333333,,,,,,,,,,,,,,,,,,,,,,,,0.8162650602409639,0.08734939759036145,24728.322916666668,692.8320802083332,0.32803274739583316,304.5349979166665,263.6574490963855,14.9765625,0.4359802083333331,13.950520833333334,0.3890729166666667,4.442708333333333,46.34036144578313,1.3000620481927707,16463.049479166668,11941.364583333334,344.73690625000035,0.2649876041666664,14469.596354166666,,358.578125,328.8385416666667,29.739583333333332,16.989583333333332,4.669270833333333,10.292577864583318,3504.7994791666665,3236.9036458333335,88.71354166666667,3336.3125,3152.2395833333335,85.05208333333333,168.48697916666666,84.6640625,3.6614583333333335,0.3385416666666667,0.4036458333333333,0.13802083333333334,0.16927083333333334,0.25,0.3255208333333333,5624.200520833333,5429.359375,142.95052083333334,5246.494791666667,5228.473958333333,137.13802083333334,377.7057291666667,200.88541666666666,5.8125,0.6875,0.9244791666666666,0.3333333333333333,0.4192708333333333,0.5989583333333334,0.6302083333333334,Cluster 1
45,8.05,1,bot,2018.0,0.3295964125560538,1.9237668161434978,6.221973094170403,2066.3026905829597,5.385650224215246,1.1031390134529149,6.517937219730942,15.809417040358744,7.484304932735426,0.8565022421524664,0.22869955156950672,0.04932735426008968,0.008968609865470852,0.2645739910313901,0.12556053811659193,0.13901345291479822,0.06278026905829596,0.47694843049327335,0.6881322869955163,,,,,,,,,,,,,,,,,,,,,,,,0.8191780821917808,0.06027397260273973,25068.60986547085,710.0848504484306,0.3282477730941705,329.34877623318414,239.40051726027397,14.441704035874439,0.42175134529148006,12.58744394618834,0.3526181614349779,4.352017937219731,43.97260273972603,1.2441758904109592,16385.515695067264,11894.668161434978,346.51848273542595,0.26495479147982065,14258.656950672646,,351.6031390134529,321.8408071748879,29.76233183856502,16.6390134529148,5.060538116591928,10.175517713004483,3501.607623318386,3241.3497757847535,88.18385650224215,3356.5448430493275,3150.134529147982,85.43497757847534,145.0627802690583,91.2152466367713,2.7488789237668163,0.36771300448430494,0.3991031390134529,0.16367713004484305,0.2040358744394619,0.2533632286995516,0.2982062780269058,5623.878923766816,5420.125560538117,141.804932735426,5269.896860986547,5204.251121076233,136.81614349775785,353.9820627802691,215.8744394618834,4.988789237668161,0.7869955156950673,1.0448430493273542,0.35201793721973096,0.4641255605381166,0.6121076233183856,0.6143497757847534,Cluster 1
55,8.06,1,bot,2018.0,0.4584837545126354,2.0974729241877257,6.382671480144404,2059.115523465704,5.292418772563177,1.1696750902527075,5.758122743682311,15.19494584837545,7.386281588447654,0.9350180505415162,0.23104693140794225,0.04332129963898917,0.010830324909747292,0.2563176895306859,0.1371841155234657,0.11913357400722022,0.036101083032490974,0.4584028880866426,0.6663111913357396,,,,,,,,,,,,,,,,,,,,,,,,0.7137254901960784,0.08235294117647059,23518.447653429605,671.3987707581229,0.31966290000000025,344.2997198555957,235.27312862745097,15.083032490974729,0.44074584837545133,13.342960288808664,0.3775779783393503,4.754512635379061,46.462745098039214,1.3281619607843134,16364.227436823105,11888.02166064982,347.5695685920577,0.2653548086642602,14294.85559566787,,354.5812274368231,322.54512635379064,32.03610108303249,18.23465703971119,4.891696750902527,10.31564837545126,3481.126353790614,3238.0216606498193,88.77617328519855,3362.0938628158847,3191.8194945848377,86.5667870036101,119.03249097472924,46.20216606498195,2.2093862815884475,0.3140794223826715,0.26353790613718414,0.13357400722021662,0.18411552346570398,0.20216606498194944,0.22382671480144403,5612.740072202166,5404.252707581228,142.5884476534296,5271.7256317689535,5222.296028880866,137.59205776173286,341.014440433213,181.956678700361,4.996389891696751,0.7472924187725631,0.8447653429602888,0.2815884476534296,0.4584837545126354,0.49458483754512633,0.5379061371841155,Cluster 1
65,8.07,1,bot,2018.0,0.0,2.3333333333333335,6.777777777777778,2010.2222222222222,5.666666666666667,0.6666666666666666,4.666666666666667,13.777777777777779,6.333333333333333,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.4207555555555555,0.6037,,,,,,,,,,,,,,,,,,,,,,,,1.2222222222222223,0.1111111111111111,24593.333333333332,718.6436666666666,0.3583947777777778,318.6182444444445,254.20875555555554,17.11111111111111,0.5258,7.222222222222222,0.20812222222222224,5.555555555555555,43.333333333333336,1.2601888888888886,15970.222222222223,11593.555555555555,346.2189222222222,0.2742295555555556,14162.888888888889,,334.6666666666667,313.22222222222223,21.444444444444443,11.0,3.0,10.004577777777778,3498.8888888888887,3208.1111111111113,91.66666666666667,3216.0,3021.3333333333335,82.11111111111111,282.8888888888889,186.77777777777777,9.555555555555555,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222,5668.555555555556,5270.888888888889,144.33333333333334,5090.222222222223,5083.555555555556,135.33333333333334,578.3333333333334,187.33333333333334,9.0,0.7777777777777778,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.3333333333333333,Cluster 1
75,8.08,1,bot,2018.0,0.0,1.44,6.35,1992.68,5.66,1.33,5.74,16.45,8.08,0.93,0.22,0.05,0.0,0.27,0.09,0.18,0.06,0.5136770000000002,0.7539610000000002,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.05,23131.92,679.2355709999997,0.33032821,335.555567,284.08212,15.27,0.46245800000000004,12.23,0.3588850000000001,4.79,44.07,1.3083920000000004,16292.55,11951.92,360.65284999999994,0.26972031,14210.96,,345.29,312.6,32.69,18.26,6.05,10.341714999999999,3565.58,3267.78,85.65,3361.47,3194.99,82.99,204.11,72.79,2.66,0.49,0.61,0.26,0.33,0.43,0.37,5763.11,5518.05,138.87,5298.32,5276.77,134.08,464.79,241.28,4.79,0.97,1.13,0.48,0.63,0.77,0.63,Cluster 1
85,8.09,1,bot,2018.0,0.0,1.0,5.666666666666667,2060.0,4.333333333333333,1.6666666666666667,7.666666666666667,16.666666666666668,9.666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.49459999999999993,0.7712333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,19004.666666666668,557.8131,0.2667623333333334,399.0364666666666,258.07103333333333,15.333333333333334,0.44649999999999995,9.666666666666666,0.284,4.333333333333333,41.333333333333336,1.2004,16076.666666666666,11598.333333333334,340.4880333333333,0.26032833333333333,13625.0,,334.6666666666667,305.6666666666667,29.0,19.0,3.0,9.785133333333333,3365.6666666666665,2919.6666666666665,75.0,3111.3333333333335,2916.6666666666665,74.66666666666667,254.33333333333334,3.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0,5761.333333333333,4990.333333333333,126.0,4868.666666666667,4716.666666666667,115.33333333333333,892.6666666666666,273.6666666666667,10.666666666666666,1.6666666666666667,2.0,0.6666666666666666,0.0,1.6666666666666667,1.0,Cluster 2
95,8.1,1,bot,2018.0,0.0,1.0,6.857142857142857,2064.0,6.0,1.5714285714285714,7.428571428571429,19.571428571428573,13.428571428571429,0.8571428571428571,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.5770714285714285,0.9562,,,,,,,,,,,,,,,,,,,,,,,,1.1428571428571428,0.14285714285714285,22846.571428571428,640.2005857142857,0.29629314285714287,371.55392857142857,242.38707142857143,13.0,0.37959999999999994,8.571428571428571,0.2529142857142857,4.0,37.57142857142857,1.099942857142857,16521.0,12034.714285714286,352.7131,0.2646864285714286,14730.142857142857,,324.57142857142856,293.85714285714283,30.714285714285715,16.0,3.4285714285714284,9.4934,3585.4285714285716,3064.4285714285716,82.0,3207.0,2974.4285714285716,81.71428571428571,378.42857142857144,90.0,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,5854.857142857143,5321.142857142857,138.85714285714286,5112.714285714285,4840.857142857143,127.57142857142857,742.1428571428571,480.2857142857143,11.285714285714286,1.4285714285714286,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.8571428571428571,1.1428571428571428,Cluster 1
