,patch,result,position,year,playoffs,game,playerid,gamelength,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,Cluster
1,8.01,0,jng,2018.0,0.0,1.5460526315789473,4.7631578947368425,2142.3903508771928,1.162280701754386,3.1907894736842106,3.4934210526315788,6.517543859649122,14.232456140350877,0.04824561403508772,0.0043859649122807015,0.0,0.0,0.32894736842105265,0.14912280701754385,0.17982456140350878,0.14473684210526316,0.17867785087719315,0.5951752192982456,,,,,,,,,,,,,,,,,,,,,,,,0.011560693641618497,0.17630057803468208,6772.881578947368,186.61736754385984,0.1104583831140351,832.4260203947364,719.9146289017343,59.32236842105263,1.6442239035087718,21.710526315789473,0.5938809210526315,11.228070175438596,117.69653179190752,3.1905829479768815,10942.736842105263,6296.653508771929,174.20165021929824,0.16425664254385974,10519.616228070176,,178.16447368421052,46.80921052631579,131.35526315789474,95.27850877192982,7.3881578947368425,4.98801907894737,3049.839912280702,3316.7346491228072,56.18201754385965,3149.1951754385964,3385.9561403508774,57.00219298245614,-99.35526315789474,-69.22149122807018,-0.8201754385964912,0.23684210526315788,0.3618421052631579,0.31798245614035087,0.3618421052631579,0.6118421052631579,0.16447368421052633,4635.69298245614,5340.736842105263,85.64035087719299,4844.311403508772,5440.271929824561,87.12719298245614,-208.6184210526316,-99.53508771929825,-1.486842105263158,0.4868421052631579,0.8355263157894737,0.6732456140350878,0.6732456140350878,1.368421052631579,0.41885964912280704,Cluster 2
11,8.02,0,jng,2018.0,0.0,1.4410774410774412,4.592592592592593,2174.949494949495,0.8619528619528619,3.292929292929293,3.919191919191919,6.9326599326599325,14.666666666666666,0.020202020202020204,0.0,0.0,0.0,0.2760942760942761,0.08080808080808081,0.19528619528619529,0.15488215488215487,0.18731212121212126,0.6111814814814812,,,,,,,,,,,,,,,,,,,,,,,,0.020161290322580645,0.16532258064516128,6335.232323232323,173.22604646464646,0.10121943299663291,840.5486814814817,739.844768951613,52.73400673400673,1.4477993265993272,18.845117845117844,0.507610101010101,11.542087542087542,98.85887096774194,2.711796774193549,10179.993265993266,5467.511784511785,149.61220942760949,0.15389684848484864,9855.10101010101,,170.8956228956229,41.07070707070707,129.82491582491582,94.76430976430976,5.878787878787879,4.718865656565654,3001.878787878788,3257.2626262626263,54.73400673400673,3127.740740740741,3343.8350168350166,56.52188552188552,-125.86195286195286,-86.57239057239057,-1.7878787878787878,0.14814814814814814,0.4074074074074074,0.3265993265993266,0.3602693602693603,0.6363636363636364,0.16835016835016836,4501.666666666667,5263.481481481482,82.97643097643098,4755.003367003367,5402.282828282829,86.04377104377105,-253.33670033670035,-138.8013468013468,-3.0673400673400675,0.3265993265993266,0.8922558922558923,0.6835016835016835,0.632996632996633,1.5117845117845117,0.31313131313131315,Cluster 2
21,8.03,0,jng,2018.0,0.0,1.4188790560471976,4.684365781710914,2157.4306784660766,0.9144542772861357,3.2271386430678466,3.943952802359882,6.793510324483776,14.678466076696164,0.02359882005899705,0.0,0.0,0.0,0.30973451327433627,0.10914454277286136,0.20058997050147492,0.13274336283185842,0.18370855457227125,0.6075970501474929,,,,,,,,,,,,,,,,,,,,,,,,0.014749262536873156,0.1504424778761062,5986.5604719764015,163.33952743362843,0.0950941598820059,847.9702970501479,747.5656719764014,57.389380530973455,1.5841268436578169,19.710914454277287,0.5374194690265486,11.616519174041297,105.43952802359883,2.9011581120943952,10179.646017699115,5502.8731563421825,151.45774926253682,0.15562734218289087,9748.687315634219,,172.33333333333334,40.66961651917404,131.6637168141593,97.83185840707965,5.651917404129794,4.78681327433628,3070.4454277286136,3345.8082595870205,56.283185840707965,3165.4572271386432,3390.9262536873157,57.56342182890855,-95.0117994100295,-45.117994100294986,-1.28023598820059,0.22123893805309736,0.39823008849557523,0.2949852507374631,0.37168141592920356,0.5958702064896755,0.17994100294985252,4565.796460176991,5329.356932153392,84.952802359882,4786.9439528023595,5443.280235988201,87.1858407079646,-221.14749262536873,-113.92330383480827,-2.2330383480825957,0.40117994100294985,0.8908554572271387,0.5870206489675516,0.6283185840707964,1.3805309734513274,0.3893805309734513,Cluster 2
31,8.04,0,jng,2018.0,0.0,1.4973958333333333,4.630208333333333,2081.4114583333335,1.2265625,3.2578125,3.8229166666666665,6.9921875,14.6640625,0.057291666666666664,0.0,0.0,0.0,0.3255208333333333,0.1484375,0.17708333333333334,0.11197916666666667,0.194784375,0.6350052083333333,,,,,,,,,,,,,,,,,,,,,,,,0.012048192771084338,0.16566265060240964,6910.622395833333,197.11308333333332,0.11931691223958346,838.9540166666658,753.5880475903608,31.744791666666668,0.9098958333333339,13.515625,0.3805242187499999,11.1875,57.78313253012048,1.636853614457833,9928.721354166666,5407.036458333333,155.15749453125014,0.16144320312500005,9536.479166666666,,164.9375,35.015625,129.921875,96.80208333333333,4.71875,4.7833778645833345,3148.5390625,3447.4817708333335,57.395833333333336,3246.0807291666665,3519.3567708333335,58.356770833333336,-97.54166666666667,-71.875,-0.9609375,0.3411458333333333,0.4609375,0.3255208333333333,0.4765625,0.7421875,0.22135416666666666,4652.940104166667,5439.96875,85.50260416666667,4915.526041666667,5597.5625,87.9296875,-262.5859375,-157.59375,-2.4270833333333335,0.5677083333333334,1.0338541666666667,0.703125,0.921875,1.5598958333333333,0.4322916666666667,Cluster 2
41,8.05,0,jng,2018.0,0.3295964125560538,1.9237668161434978,4.7690582959641254,2066.3026905829597,1.34304932735426,3.4327354260089686,4.024663677130045,7.4641255605381165,15.81390134529148,0.042600896860986545,0.002242152466367713,0.0,0.0,0.26905829596412556,0.10762331838565023,0.16143497757847533,0.1367713004484305,0.211185201793722,0.6881322869955163,,,,,,,,,,,,,,,,,,,,,,,,0.0027397260273972603,0.13424657534246576,6732.479820627803,195.15749103139026,0.1145681825112108,863.7059192825114,810.0707909589044,31.45067264573991,0.905583408071749,13.674887892376681,0.38589484304932714,11.840807174887892,58.20821917808219,1.6600520547945212,9812.61659192825,5321.769058295964,153.87141636771304,0.16178712556053804,9438.941704035875,,160.1322869955157,33.39686098654708,126.73542600896862,94.86322869955157,4.390134529147982,4.667239013452915,3110.52466367713,3381.5313901345294,55.643497757847534,3256.1681614349777,3516.1390134529147,58.09865470852018,-145.64349775784754,-134.60762331838566,-2.4551569506726456,0.36995515695067266,0.43946188340807174,0.4349775784753363,0.5,0.8251121076233184,0.23318385650224216,4621.834080717489,5374.076233183857,83.4237668161435,4912.865470852018,5552.5156950672645,87.20403587443946,-291.03139013452915,-178.4394618834081,-3.780269058295964,0.6367713004484304,1.031390134529148,0.7937219730941704,0.9103139013452914,1.7466367713004485,0.4618834080717489,Cluster 2
51,8.06,0,jng,2018.0,0.4584837545126354,2.0974729241877257,4.617328519855596,2059.115523465704,1.2707581227436824,3.3646209386281587,4.111913357400722,7.368231046931408,15.205776173285198,0.036101083032490974,0.0036101083032490976,0.0,0.0,0.2996389891696751,0.1263537906137184,0.17328519855595667,0.1588447653429603,0.2079043321299638,0.6663111913357396,,,,,,,,,,,,,,,,,,,,,,,,0.023529411764705882,0.1568627450980392,6661.075812274368,192.8638595667871,0.11473055703971119,837.9710844765342,716.5928494117649,31.935018050541515,0.9148350180505416,14.249097472924188,0.4071310469314079,11.541516245487365,59.03529411764706,1.6915807843137258,9801.606498194946,5325.400722021661,154.2945768953069,0.16099598194945847,9378.505415162455,,159.4259927797834,35.32129963898917,124.10469314079423,92.31046931407943,5.346570397111913,4.673349458483753,3099.649819494585,3355.335740072202,55.462093862815884,3216.5126353790615,3422.2129963898915,57.11552346570397,-116.86281588447653,-66.87725631768953,-1.6534296028880866,0.35379061371841153,0.47653429602888087,0.34296028880866425,0.5054151624548736,0.7075812274368231,0.2924187725631769,4593.743682310469,5310.375451263538,82.76895306859205,4838.924187725632,5420.039711191335,85.07220216606498,-245.18050541516246,-109.66425992779783,-2.303249097472924,0.6064981949458483,1.0252707581227436,0.740072202166065,0.8772563176895307,1.6064981949458483,0.5595667870036101,Cluster 2
61,8.07,0,jng,2018.0,0.0,2.3333333333333335,4.222222222222222,2010.2222222222222,1.3333333333333333,3.3333333333333335,3.7777777777777777,6.333333333333333,13.777777777777779,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.1829333333333333,0.6037,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1111111111111111,6143.777777777777,180.3557888888889,0.0983321777777778,880.8564555555555,772.966588888889,21.77777777777778,0.6327444444444443,10.444444444444445,0.30574444444444443,10.777777777777779,44.55555555555556,1.3207,9205.888888888889,4829.222222222223,141.22918888888887,0.15572555555555556,8794.444444444445,,146.0,26.77777777777778,119.22222222222223,86.44444444444444,5.444444444444445,4.374422222222222,2953.222222222222,3189.8888888888887,51.44444444444444,3065.1111111111113,3258.222222222222,54.0,-111.88888888888889,-68.33333333333333,-2.5555555555555554,0.1111111111111111,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.1111111111111111,4519.666666666667,5139.666666666667,80.0,4599.777777777777,5314.333333333333,83.11111111111111,-80.11111111111111,-174.66666666666666,-3.111111111111111,0.4444444444444444,1.4444444444444444,0.7777777777777778,0.4444444444444444,1.4444444444444444,0.4444444444444444,Cluster 2
71,8.08,0,jng,2018.0,0.0,1.44,4.65,1992.68,1.46,3.42,3.96,8.06,16.46,0.03,0.0,0.0,0.0,0.31,0.15,0.16,0.15,0.24026999999999993,0.7539610000000002,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.31,6555.39,201.03316600000002,0.12512548300000007,817.5489269999997,676.1173559999999,27.2,0.8097449999999996,12.61,0.374492,10.6,52.9,1.5682739999999997,9842.99,5502.36,164.90557499999989,0.17146772000000002,9459.03,,164.16,38.28,125.88,91.23,7.56,4.940129,3119.47,3367.52,55.08,3281.58,3466.46,56.31,-162.11,-98.94,-1.23,0.42,0.63,0.6,0.66,0.95,0.39,4718.14,5457.79,84.32,5048.55,5608.9,86.4,-330.41,-151.11,-2.08,0.75,1.16,1.0,1.21,1.8,0.65,Cluster 2
81,8.09,0,jng,2018.0,0.0,1.0,5.333333333333333,2060.0,0.6666666666666666,3.6666666666666665,6.333333333333333,9.666666666666666,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27666666666666667,0.7712333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8718.0,255.93789999999998,0.13172843333333334,784.0580333333334,572.2467333333333,11.333333333333334,0.3294333333333333,9.333333333333334,0.27376666666666666,8.0,38.333333333333336,1.1157000000000001,10111.333333333334,5633.0,163.79536666666667,0.177042,9791.666666666666,,171.0,35.666666666666664,135.33333333333334,101.66666666666667,5.666666666666667,4.988666666666666,2990.0,3127.6666666666665,53.666666666666664,2974.6666666666665,3189.3333333333335,54.0,15.333333333333334,-61.666666666666664,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4378.666666666667,4925.666666666667,78.0,4765.0,5316.666666666667,86.0,-386.3333333333333,-391.0,-8.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.6666666666666667,1.0,Cluster 0
91,8.1,0,jng,2018.0,0.0,1.0,4.142857142857143,2064.0,2.5714285714285716,5.285714285714286,7.571428571428571,13.428571428571429,19.571428571428573,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.3791285714285714,0.9562,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.42857142857142855,9632.0,281.3090142857143,0.16165357142857145,767.8223999999999,595.1285714285715,17.285714285714285,0.5253571428571429,4.428571428571429,0.12751428571428572,9.714285714285714,36.714285714285715,1.084442857142857,10338.57142857143,5852.285714285715,171.5851571428571,0.17005699999999996,9879.714285714286,,153.14285714285714,26.0,127.14285714285714,91.42857142857143,8.0,4.530028571428572,3199.285714285714,3394.0,53.57142857142857,3109.8571428571427,3203.0,51.714285714285715,89.42857142857143,191.0,1.8571428571428572,0.5714285714285714,0.8571428571428571,0.2857142857142857,0.42857142857142855,1.0,0.7142857142857143,4997.0,5777.142857142857,82.0,4969.428571428572,5564.0,82.0,27.571428571428573,213.14285714285714,0.0,1.2857142857142858,2.0,1.0,1.0,2.2857142857142856,1.4285714285714286,Cluster 3
