,patch,result,position,year,playoffs,game,playerid,gamelength,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,Cluster
6,8.01,1,jng,2018.0,0.0,1.5460526315789473,4.2368421052631575,2142.3903508771928,2.067982456140351,1.506578947368421,8.418859649122806,14.230263157894736,6.532894736842105,0.12719298245614036,0.017543859649122806,0.0,0.0,0.4649122807017544,0.19078947368421054,0.2741228070175439,0.1074561403508772,0.41650000000000026,0.5951752192982456,,,,,,,,,,,,,,,,,,,,,,,,0.17630057803468208,0.011560693641618497,7910.776315789473,222.57090789473693,0.10519749320175448,827.7185006578951,778.6635208092486,59.89473684210526,1.6702230263157902,22.83114035087719,0.6282870614035091,11.75,122.52601156069365,3.3621401734104066,12924.644736842105,8278.561403508771,234.6329583333336,0.1671662785087719,11594.285087719298,,191.54166666666666,49.58114035087719,141.96052631578948,91.74780701754386,13.241228070175438,5.408095833333334,3149.1951754385964,3385.9561403508774,57.00219298245614,3049.839912280702,3316.7346491228072,56.18201754385965,99.35526315789474,69.22149122807018,0.8201754385964912,0.3618421052631579,0.6118421052631579,0.16447368421052633,0.23684210526315788,0.3618421052631579,0.31798245614035087,4844.311403508772,5440.271929824561,87.12719298245614,4635.69298245614,5340.736842105263,85.64035087719299,208.6184210526316,99.53508771929825,1.486842105263158,0.6732456140350878,1.368421052631579,0.41885964912280704,0.4868421052631579,0.8355263157894737,0.6732456140350878,Cluster 0
16,8.02,1,jng,2018.0,0.0,1.4410774410774412,4.407407407407407,2174.949494949495,1.9326599326599327,1.4848484848484849,8.861952861952862,14.65993265993266,6.94949494949495,0.08754208754208755,0.006734006734006734,0.0,0.0,0.49158249158249157,0.18181818181818182,0.30976430976430974,0.05387205387205387,0.42386868686868706,0.6111814814814812,,,,,,,,,,,,,,,,,,,,,,,,0.16532258064516128,0.020161290322580645,7917.457912457912,222.12405420875427,0.10374778922558925,834.7082898989898,787.115412096774,57.84511784511785,1.5765474747474737,20.242424242424242,0.5499936026936035,11.821548821548822,113.15725806451613,3.1026790322580653,12258.178451178452,7545.69696969697,211.97938417508414,0.1605019158249158,11131.74074074074,,186.003367003367,41.427609427609426,144.57575757575756,92.18181818181819,13.363636363636363,5.178202356902359,3127.740740740741,3343.8350168350166,56.52188552188552,3001.878787878788,3257.2626262626263,54.73400673400673,125.86195286195286,86.57239057239057,1.7878787878787878,0.3602693602693603,0.6363636363636364,0.16835016835016836,0.14814814814814814,0.4074074074074074,0.3265993265993266,4755.003367003367,5402.282828282829,86.04377104377105,4501.666666666667,5263.481481481482,82.97643097643098,253.33670033670035,138.8013468013468,3.0673400673400675,0.632996632996633,1.5117845117845117,0.31313131313131315,0.3265993265993266,0.8922558922558923,0.6835016835016835,Cluster 0
26,8.03,1,jng,2018.0,0.0,1.4188790560471976,4.315634218289086,2157.4306784660766,1.873156342182891,1.5663716814159292,8.684365781710914,14.660766961651918,6.825958702064897,0.10029498525073746,0.0058997050147492625,0.0,0.0,0.471976401179941,0.1976401179941003,0.2743362831858407,0.061946902654867256,0.42389144542772916,0.6075970501474929,,,,,,,,,,,,,,,,,,,,,,,,0.1504424778761062,0.014749262536873156,7359.410029498525,206.65278967551615,0.09627306194690273,834.7751047197639,846.767893215339,60.37463126843658,1.6743589970501465,20.90560471976401,0.5711970501474924,12.162241887905605,116.98230088495575,3.237009734513273,12241.675516224188,7564.902654867256,213.51391179941,0.16201261061946898,11016.648967551622,,186.44837758112095,40.34513274336283,146.10324483775813,94.25958702064896,12.702064896755163,5.219102654867252,3165.4572271386432,3390.9262536873157,57.56342182890855,3070.4454277286136,3345.8082595870205,56.283185840707965,95.0117994100295,45.117994100294986,1.28023598820059,0.37168141592920356,0.5958702064896755,0.17994100294985252,0.22123893805309736,0.39823008849557523,0.2949852507374631,4786.9439528023595,5443.280235988201,87.1858407079646,4565.796460176991,5329.356932153392,84.952802359882,221.14749262536873,113.92330383480827,2.2330383480825957,0.6283185840707964,1.3805309734513274,0.3893805309734513,0.40117994100294985,0.8908554572271387,0.5870206489675516,Cluster 0
36,8.04,1,jng,2018.0,0.0,1.4973958333333333,4.369791666666667,2081.4114583333335,2.3125,1.4713541666666667,8.3984375,14.6484375,7.002604166666667,0.15104166666666666,0.015625,0.0026041666666666665,0.0,0.4765625,0.20052083333333334,0.2760416666666667,0.0859375,0.440221354166667,0.6350052083333333,,,,,,,,,,,,,,,,,,,,,,,,0.16566265060240964,0.012048192771084338,8280.466145833334,242.7390335937499,0.11648079192708337,817.3861544270832,811.8399635542161,35.971354166666664,1.033676822916667,15.072916666666666,0.42525729166666676,11.859375,70.23795180722891,2.003131325301205,11939.950520833334,7418.265625,218.15649531250008,0.16651116927083337,10669.705729166666,,177.421875,36.213541666666664,141.20833333333334,94.28125,9.947916666666666,5.171630208333331,3246.0807291666665,3519.3567708333335,58.356770833333336,3148.5390625,3447.4817708333335,57.395833333333336,97.54166666666667,71.875,0.9609375,0.4765625,0.7421875,0.22135416666666666,0.3411458333333333,0.4609375,0.3255208333333333,4915.526041666667,5597.5625,87.9296875,4652.940104166667,5439.96875,85.50260416666667,262.5859375,157.59375,2.4270833333333335,0.921875,1.5598958333333333,0.4322916666666667,0.5677083333333334,1.0338541666666667,0.703125,Cluster 0
46,8.05,1,jng,2018.0,0.3295964125560538,1.9237668161434978,4.237668161434978,2066.3026905829597,2.3632286995515694,1.6053811659192825,9.150224215246636,15.809417040358744,7.484304932735426,0.14349775784753363,0.008968609865470852,0.002242152466367713,0.0,0.5179372197309418,0.2085201793721973,0.3094170403587444,0.05605381165919283,0.47694843049327335,0.6881322869955163,,,,,,,,,,,,,,,,,,,,,,,,0.13424657534246576,0.0027397260273972603,8399.688340807175,245.353200896861,0.11403233228699548,851.1325681614352,836.1867917808216,35.72645739910314,1.036836771300448,14.753363228699552,0.41866076233183824,11.708520179372197,69.3972602739726,1.9987123287671227,11961.060538116591,7470.213004484305,220.84548923766835,0.16833787668161448,10687.22869955157,,177.46412556053812,35.26905829596413,142.195067264574,92.84304932735427,11.336322869955158,5.212305605381167,3256.1681614349777,3516.1390134529147,58.09865470852018,3110.52466367713,3381.5313901345294,55.643497757847534,145.64349775784754,134.60762331838566,2.4551569506726456,0.5,0.8251121076233184,0.23318385650224216,0.36995515695067266,0.43946188340807174,0.4349775784753363,4912.865470852018,5552.5156950672645,87.20403587443946,4621.834080717489,5374.076233183857,83.4237668161435,291.03139013452915,178.4394618834081,3.780269058295964,0.9103139013452914,1.7466367713004485,0.4618834080717489,0.6367713004484304,1.031390134529148,0.7937219730941704,Cluster 0
56,8.06,1,jng,2018.0,0.4584837545126354,2.0974729241877257,4.382671480144404,2059.115523465704,2.332129963898917,1.7256317689530687,8.743682310469314,15.19494584837545,7.386281588447654,0.1263537906137184,0.0036101083032490976,0.0,0.0,0.5379061371841155,0.20216606498194944,0.33574007220216606,0.08664259927797834,0.4584028880866426,0.6663111913357396,,,,,,,,,,,,,,,,,,,,,,,,0.1568627450980392,0.023529411764705882,8102.400722021661,239.060129963899,0.1144841566787004,841.1893599277977,788.1061454901966,34.144404332129966,0.9832963898916974,15.566787003610107,0.44513790613718446,11.584837545126353,68.11372549019607,1.9750713725490217,11865.314079422382,7389.108303249098,219.4325783393501,0.16666420577617327,10553.458483754514,,173.0974729241877,36.808664259927795,136.28880866425993,89.14079422382672,10.28519855595668,5.098193501805059,3216.5126353790615,3422.2129963898915,57.11552346570397,3099.649819494585,3355.335740072202,55.462093862815884,116.86281588447653,66.87725631768953,1.6534296028880866,0.5054151624548736,0.7075812274368231,0.2924187725631769,0.35379061371841153,0.47653429602888087,0.34296028880866425,4838.924187725632,5420.039711191335,85.07220216606498,4593.743682310469,5310.375451263538,82.76895306859205,245.18050541516246,109.66425992779783,2.303249097472924,0.8772563176895307,1.6064981949458483,0.5595667870036101,0.6064981949458483,1.0252707581227436,0.740072202166065,Cluster 0
66,8.07,1,jng,2018.0,0.0,2.3333333333333335,4.777777777777778,2010.2222222222222,1.8888888888888888,1.0,8.222222222222221,13.777777777777779,6.333333333333333,0.0,0.0,0.0,0.0,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.4207555555555555,0.6037,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,0.0,5288.777777777777,156.8848555555556,0.0802985,933.3199333333333,850.8243666666667,26.444444444444443,0.7573222222222222,14.222222222222221,0.41887777777777785,13.666666666666666,57.44444444444444,1.6818333333333335,11549.111111111111,7172.444444444444,215.03492222222224,0.1707358888888889,10366.111111111111,,168.66666666666666,31.333333333333332,137.33333333333334,88.11111111111111,10.444444444444445,5.106044444444445,3065.1111111111113,3258.222222222222,54.0,2953.222222222222,3189.8888888888887,51.44444444444444,111.88888888888889,68.33333333333333,2.5555555555555554,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.3333333333333333,4599.777777777777,5314.333333333333,83.11111111111111,4519.666666666667,5139.666666666667,80.0,80.11111111111111,174.66666666666666,3.111111111111111,0.4444444444444444,1.4444444444444444,0.4444444444444444,0.4444444444444444,1.4444444444444444,0.7777777777777778,Cluster 0
76,8.08,1,jng,2018.0,0.0,1.44,4.35,1992.68,2.77,1.68,8.82,16.45,8.08,0.19,0.01,0.0,0.0,0.45,0.18,0.27,0.1,0.5136770000000002,0.7539610000000002,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.03,8826.05,271.31163699999985,0.12891442499999994,791.6876030000002,726.7340059999998,28.46,0.855578,13.87,0.4118510000000001,10.6,60.12,1.7948589999999998,12073.82,7733.19,236.74104599999993,0.17598541,10748.81,,178.36,40.33,138.03,86.41,13.72,5.411007999999999,3281.58,3466.46,56.31,3119.47,3367.52,55.08,162.11,98.94,1.23,0.66,0.95,0.39,0.42,0.63,0.6,5048.55,5608.9,86.4,4718.14,5457.79,84.32,330.41,151.11,2.08,1.21,1.8,0.65,0.75,1.16,1.0,Cluster 0
86,8.09,1,jng,2018.0,0.0,1.0,3.6666666666666665,2060.0,3.0,2.3333333333333335,7.333333333333333,16.666666666666668,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.49459999999999993,0.7712333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9457.0,264.73330000000004,0.13998633333333332,817.2447000000001,524.2112000000001,10.666666666666666,0.3103666666666667,15.333333333333334,0.4363333333333334,6.0,50.0,1.4435,12320.666666666666,7842.333333333333,227.07736666666668,0.17396699999999998,11466.666666666666,,191.66666666666666,51.666666666666664,140.0,84.66666666666667,11.666666666666666,5.507000000000001,2974.6666666666665,3189.3333333333335,54.0,2990.0,3127.6666666666665,53.666666666666664,-15.333333333333334,61.666666666666664,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,4765.0,5316.666666666667,86.0,4378.666666666667,4925.666666666667,78.0,386.3333333333333,391.0,8.0,0.6666666666666666,1.6666666666666667,1.0,0.3333333333333333,1.0,1.0,Cluster 2
96,8.1,1,jng,2018.0,0.0,1.0,4.857142857142857,2064.0,3.142857142857143,3.5714285714285716,9.714285714285714,19.571428571428573,13.428571428571429,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.5770714285714285,0.9562,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,0.0,9045.57142857143,254.43512857142855,0.11798878571428571,833.7014714285714,792.1036000000001,16.285714285714285,0.4725857142857143,11.285714285714286,0.32844285714285715,6.0,51.857142857142854,1.5128857142857144,12523.42857142857,8037.142857142857,235.99935714285715,0.17619571428571426,11393.42857142857,,165.14285714285714,29.428571428571427,135.71428571428572,85.14285714285714,10.571428571428571,4.872228571428571,3109.8571428571427,3203.0,51.714285714285715,3199.285714285714,3394.0,53.57142857142857,-89.42857142857143,-191.0,-1.8571428571428572,0.42857142857142855,1.0,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.2857142857142857,4969.428571428572,5564.0,82.0,4997.0,5777.142857142857,82.0,-27.571428571428573,-213.14285714285714,0.0,1.0,2.2857142857142856,1.4285714285714286,1.2857142857142858,2.0,1.0,Cluster 0
