,patch,result,position,year,playoffs,game,playerid,gamelength,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,Cluster
2,8.01,0,mid,2018.0,0.0,1.5460526315789473,5.7631578947368425,2142.3903508771928,1.8114035087719298,2.68640350877193,2.7390350877192984,6.517543859649122,14.232456140350877,0.14692982456140352,0.010964912280701754,0.0,0.0,0.20833333333333334,0.09429824561403509,0.11403508771929824,0.1337719298245614,0.17867785087719315,0.5951752192982456,,,,,,,,,,,,,,,,,,,,,,,,0.06936416184971098,0.5722543352601156,17569.552631578947,474.0973600877193,0.2765118473684208,456.9063982456141,347.07263959537556,18.833333333333332,0.5250153508771926,10.18421052631579,0.2792749999999998,5.56359649122807,39.80635838150289,1.07356358381503,13588.640350877193,8942.557017543859,246.1971067982456,0.2323298925438598,12954.166666666666,,341.45394736842104,318.87280701754383,22.58114035087719,17.888157894736842,1.8706140350877194,9.530496271929815,3408.4802631578946,4744.912280701755,88.51973684210526,3530.9605263157896,4826.793859649123,90.99342105263158,-122.48026315789474,-81.88157894736842,-2.473684210526316,0.20614035087719298,0.23026315789473684,0.26535087719298245,0.36403508771929827,0.3508771929824561,0.1600877192982456,5377.475877192983,7550.372807017544,143.12938596491227,5663.666666666667,7731.096491228071,147.6951754385965,-286.1907894736842,-180.72368421052633,-4.565789473684211,0.5109649122807017,0.5372807017543859,0.5592105263157895,0.8157894736842105,0.8464912280701754,0.34210526315789475,Cluster 2
12,8.02,0,mid,2018.0,0.0,1.4410774410774412,5.592592592592593,2174.949494949495,2.3097643097643097,2.68013468013468,2.6363636363636362,6.9326599326599325,14.666666666666666,0.2356902356902357,0.04040404040404041,0.010101010101010102,0.0,0.18181818181818182,0.08417508417508418,0.09764309764309764,0.09090909090909091,0.18731212121212126,0.6111814814814812,,,,,,,,,,,,,,,,,,,,,,,,0.07258064516129033,0.3951612903225806,19113.77441077441,504.8570525252524,0.29169827946127935,465.67052053872055,381.5994564516128,18.316498316498315,0.5055969696969699,9.286195286195285,0.2517306397306397,5.818181818181818,39.63709677419355,1.0747290322580647,13858.787878787878,9146.306397306398,247.62934343434335,0.25452786868686866,13381.915824915824,,346.33670033670035,322.48148148148147,23.855218855218855,19.40740740740741,1.7205387205387206,9.504218855218861,3451.3569023569025,4779.13468013468,90.52188552188552,3523.5757575757575,4848.461279461279,92.11111111111111,-72.21885521885523,-69.32659932659932,-1.5892255892255893,0.25252525252525254,0.16161616161616163,0.19865319865319866,0.30976430976430974,0.3367003367003367,0.15151515151515152,5400.212121212121,7569.602693602694,145.1043771043771,5674.117845117845,7756.215488215488,148.56902356902356,-273.9057239057239,-186.6127946127946,-3.4646464646464645,0.5454545454545454,0.4478114478114478,0.5521885521885522,0.8215488215488216,0.8922558922558923,0.3400673400673401,Cluster 2
22,8.03,0,mid,2018.0,0.0,1.4188790560471976,5.684365781710914,2157.4306784660766,1.9852507374631267,2.7876106194690267,2.7787610619469025,6.793510324483776,14.678466076696164,0.1976401179941003,0.017699115044247787,0.0,0.0,0.17404129793510326,0.07964601769911504,0.0943952802359882,0.12684365781710916,0.18370855457227125,0.6075970501474929,,,,,,,,,,,,,,,,,,,,,,,,0.017699115044247787,0.471976401179941,18694.734513274336,502.2593038348085,0.289203395280236,447.09173834808297,333.5038171091447,19.371681415929203,0.5357433628318587,10.03834808259587,0.2690061946902656,6.3657817109144545,39.72566371681416,1.0761339233038347,13622.964601769912,8946.19174041298,244.97359616519162,0.25160717699115015,13005.174041297934,,345.353982300885,322.5486725663717,22.805309734513273,18.82300884955752,1.4513274336283186,9.564789380530964,3435.8082595870205,4794.941002949852,91.05014749262537,3558.3982300884954,4878.899705014749,92.79941002949853,-122.58997050147492,-83.95870206489676,-1.7492625368731562,0.15339233038348082,0.2182890855457227,0.25958702064896755,0.3687315634218289,0.32448377581120946,0.13864306784660768,5396.784660766962,7621.587020648967,146.58407079646017,5680.1563421828905,7816.551622418879,150.42182890855457,-283.37168141592923,-194.9646017699115,-3.837758112094395,0.43952802359882004,0.5191740412979351,0.5634218289085545,0.7905604719764012,0.7905604719764012,0.2920353982300885,Cluster 2
32,8.04,0,mid,2018.0,0.0,1.4973958333333333,5.630208333333333,2081.4114583333335,1.8880208333333333,2.7734375,2.9088541666666665,6.9921875,14.6640625,0.1328125,0.026041666666666668,0.0026041666666666665,0.0,0.1640625,0.08072916666666667,0.08333333333333333,0.13020833333333334,0.194784375,0.6350052083333333,,,,,,,,,,,,,,,,,,,,,,,,0.05120481927710843,0.3493975903614458,16716.997395833332,465.43095755208293,0.28100255885416675,470.8970591145832,408.196221686747,18.893229166666668,0.5452499999999993,8.122395833333334,0.2272177083333333,6.377604166666667,38.015060240963855,1.075151807228916,12927.096354166666,8405.411458333334,238.56012135416668,0.24825185156250004,12394.825520833334,,322.7369791666667,300.328125,22.408854166666668,18.203125,1.4895833333333333,9.27754895833334,3419.578125,4734.026041666667,89.04166666666667,3523.2395833333335,4830.075520833333,90.83333333333333,-103.66145833333333,-96.04947916666667,-1.7916666666666667,0.22916666666666666,0.22135416666666666,0.2708333333333333,0.3411458333333333,0.4375,0.16927083333333334,5358.104166666667,7514.309895833333,143.55989583333334,5623.122395833333,7752.151041666667,147.11197916666666,-265.0182291666667,-237.84114583333334,-3.5520833333333335,0.5052083333333334,0.578125,0.6145833333333334,0.7421875,1.0572916666666667,0.3671875,Cluster 2
42,8.05,0,mid,2018.0,0.3295964125560538,1.9237668161434978,5.7690582959641254,2066.3026905829597,2.013452914798206,2.8654708520179373,3.0112107623318387,7.4641255605381165,15.81390134529148,0.15246636771300448,0.017937219730941704,0.004484304932735426,0.0,0.13228699551569506,0.05829596412556054,0.07399103139013453,0.1367713004484305,0.211185201793722,0.6881322869955163,,,,,,,,,,,,,,,,,,,,,,,,0.024657534246575342,0.43561643835616437,16842.387892376682,473.9825486547086,0.27178155381165936,471.6477975336321,398.0640441095891,18.58744394618834,0.5394044843049327,7.988789237668161,0.22513946188340825,6.486547085201794,37.43013698630137,1.065287671232876,12752.67264573991,8261.825112107623,236.06630852017935,0.24785938116591916,12196.19730941704,,316.23318385650225,294.44618834080717,21.786995515695068,17.67713004484305,1.3766816143497758,9.13909641255605,3391.3497757847535,4702.278026905829,88.08744394618834,3541.262331838565,4788.446188340808,90.43946188340807,-149.91255605381167,-86.16816143497758,-2.3520179372197307,0.21076233183856502,0.2645739910313901,0.34080717488789236,0.45964125560538116,0.4282511210762332,0.19955156950672645,5322.0739910313905,7467.85201793722,141.76233183856502,5646.396860986547,7677.948430493274,145.87668161434976,-324.32286995515693,-210.09641255605382,-4.114349775784754,0.5067264573991032,0.6188340807174888,0.679372197309417,0.9551569506726457,1.0672645739910314,0.40582959641255606,Cluster 2
52,8.06,0,mid,2018.0,0.4584837545126354,2.0974729241877257,5.617328519855596,2059.115523465704,2.1444043321299637,2.8555956678700363,2.96028880866426,7.368231046931408,15.205776173285198,0.15162454873646208,0.021660649819494584,0.0036101083032490976,0.0,0.19133574007220217,0.09386281588447654,0.09747292418772563,0.11913357400722022,0.2079043321299638,0.6663111913357396,,,,,,,,,,,,,,,,,,,,,,,,0.03529411764705882,0.3686274509803922,16551.91335740072,465.77497220216605,0.2747499530685922,451.9375779783394,342.34847098039205,19.27797833935018,0.560710108303249,8.083032490974729,0.23048194945848383,7.072202166064982,38.36078431372549,1.1040117647058827,12766.530685920578,8290.324909747293,237.86092382671487,0.24829453068592042,12178.115523465704,,316.9386281588448,295.2093862815884,21.729241877256317,17.59927797833935,1.3357400722021662,9.220436462093868,3419.1335740072204,4709.548736462094,88.61732851985559,3533.104693140794,4815.386281588448,91.38267148014441,-113.971119133574,-105.83754512635379,-2.765342960288809,0.26353790613718414,0.26714801444043323,0.3285198555956679,0.36823104693140796,0.35379061371841153,0.19133574007220217,5343.259927797834,7459.227436823105,142.5234657039711,5643.296028880866,7667.880866425993,146.75451263537906,-300.03610108303246,-208.65342960288808,-4.231046931407942,0.5234657039711191,0.6425992779783394,0.6678700361010831,0.8339350180505415,0.9494584837545126,0.37906137184115524,Cluster 2
62,8.07,0,mid,2018.0,0.0,2.3333333333333335,5.222222222222222,2010.2222222222222,2.2222222222222223,3.111111111111111,2.6666666666666665,6.333333333333333,13.777777777777779,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1829333333333333,0.6037,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5555555555555556,15482.222222222223,439.40527777777777,0.23911333333333332,442.9155333333333,321.4456333333333,15.333333333333334,0.4597777777777778,9.0,0.26311111111111113,6.777777777777778,38.333333333333336,1.1263,11811.555555555555,7434.888888888889,219.33006666666668,0.24279388888888886,11303.888888888889,,282.22222222222223,264.8888888888889,17.333333333333332,15.333333333333334,1.5555555555555556,8.480144444444445,3383.6666666666665,4657.222222222223,84.88888888888889,3224.8888888888887,4529.888888888889,84.88888888888889,158.77777777777777,127.33333333333333,0.0,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0.5555555555555556,5415.0,7345.111111111111,137.33333333333334,5217.777777777777,7308.0,138.0,197.22222222222223,37.111111111111114,-0.6666666666666666,0.8888888888888888,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.7777777777777778,0.7777777777777778,Cluster 0
72,8.08,0,mid,2018.0,0.0,1.44,5.65,1992.68,1.98,3.1,3.22,8.06,16.46,0.14,0.03,0.01,0.0,0.14,0.03,0.11,0.1,0.24026999999999993,0.7539610000000002,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.4,14500.06,420.37676000000005,0.25162230999999996,477.4812420000001,390.698005,19.38,0.5806459999999999,5.88,0.17512499999999995,7.03,34.76,1.0294669999999997,11845.32,7504.69,223.40942500000006,0.23119539999999986,11561.08,,285.02,267.14,17.88,14.41,1.08,8.554340000000002,3339.72,4597.71,83.91,3508.69,4682.75,86.2,-168.97,-85.04,-2.29,0.35,0.32,0.41,0.6,0.5,0.2,5207.33,7241.17,134.66,5574.21,7470.96,139.59,-366.88,-229.79,-4.93,0.59,0.73,0.8,1.07,1.1,0.42,Cluster 0
82,8.09,0,mid,2018.0,0.0,1.0,6.333333333333333,2060.0,2.0,3.6666666666666665,5.0,9.666666666666666,16.666666666666668,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.27666666666666667,0.7712333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.0,18568.333333333332,536.825,0.29925399999999996,579.2233333333334,333.92976666666664,18.0,0.5182666666666667,4.666666666666667,0.12886666666666666,4.0,30.0,0.8535333333333334,11568.666666666666,7090.333333333333,204.13076666666666,0.221581,10833.333333333334,,269.3333333333333,257.6666666666667,11.666666666666666,10.0,0.0,7.8316333333333334,3156.0,4517.666666666667,82.33333333333333,3645.0,4816.333333333333,89.33333333333333,-489.0,-298.6666666666667,-7.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.0,4958.333333333333,6645.0,120.33333333333333,5690.666666666667,7513.666666666667,140.33333333333334,-732.3333333333334,-868.6666666666666,-20.0,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.0,Cluster 3
92,8.1,0,mid,2018.0,0.0,1.0,5.142857142857143,2064.0,4.714285714285714,3.2857142857142856,4.714285714285714,13.428571428571429,19.571428571428573,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.3791285714285714,0.9562,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.42857142857142855,16747.571428571428,478.4715285714286,0.2803497142857143,584.2359285714285,405.32578571428576,16.142857142857142,0.4557142857142857,5.571428571428571,0.1602714285714286,4.857142857142857,36.285714285714285,1.0457857142857143,13709.714285714286,9223.42857142857,266.2618142857143,0.2624177142857143,12840.42857142857,,307.85714285714283,291.2857142857143,16.571428571428573,11.285714285714286,0.2857142857142857,8.9397,3392.714285714286,4762.285714285715,83.71428571428571,3482.1428571428573,4756.857142857143,88.71428571428571,-89.42857142857143,5.428571428571429,-5.0,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.42857142857142855,5431.285714285715,7538.428571428572,133.28571428571428,5584.285714285715,7505.714285714285,140.57142857142858,-153.0,32.714285714285715,-7.285714285714286,1.1428571428571428,1.2857142857142858,0.8571428571428571,1.1428571428571428,1.0,1.2857142857142858,Cluster 2
