,patch,result,position,year,playoffs,game,playerid,gamelength,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,Cluster
3,8.01,0,sup,2018.0,0.0,1.5460526315789473,7.7631578947368425,2142.3903508771928,0.4144736842105263,3.013157894736842,4.026315789473684,6.517543859649122,14.232456140350877,0.006578947368421052,0.0,0.0,0.0,0.14912280701754385,0.02631578947368421,0.12280701754385964,0.10526315789473684,0.17867785087719315,0.5951752192982456,,,,,,,,,,,,,,,,,,,,,,,,0.005780346820809248,0.08092485549132948,4697.833333333333,130.9024519736842,0.07839186482456147,472.25290964912256,756.8452017341041,51.23026315789474,1.4027499999999997,14.364035087719298,0.39601600877192966,15.289473684210526,84.36416184971098,2.2717219653179197,9638.149122807017,4992.065789473684,137.414675877193,0.1293571817982455,9085.339912280702,,97.71052631578948,97.39035087719299,0.3201754385964912,0.1074561403508772,0.015350877192982455,2.7682346491228036,2325.0438596491226,2781.0833333333335,24.914473684210527,2375.3377192982457,2810.315789473684,25.280701754385966,-50.29385964912281,-29.232456140350877,-0.36622807017543857,0.046052631578947366,0.25219298245614036,0.23684210526315788,0.10087719298245613,0.4780701754385965,0.11842105263157894,3618.4934210526317,4233.776315789473,40.92982456140351,3772.6140350877195,4337.43201754386,41.98026315789474,-154.12061403508773,-103.65570175438596,-1.0504385964912282,0.10526315789473684,0.7171052631578947,0.5263157894736842,0.2149122807017544,1.1973684210526316,0.31140350877192985,Cluster 2
13,8.02,0,sup,2018.0,0.0,1.4410774410774412,7.592592592592593,2174.949494949495,0.39057239057239057,3.0235690235690234,4.282828282828283,6.9326599326599325,14.666666666666666,0.006734006734006734,0.0,0.0,0.0,0.19865319865319866,0.04713804713804714,0.15151515151515152,0.1111111111111111,0.18731212121212126,0.6111814814814812,,,,,,,,,,,,,,,,,,,,,,,,0.008064516129032258,0.10483870967741936,4780.262626262626,131.54913097643092,0.07723882828282834,484.317485858586,522.5977693548389,50.86531986531987,1.3759053872053861,12.565656565656566,0.34306430976431007,15.713804713804715,80.54838709677419,2.1898197580645156,8081.222222222223,3368.740740740741,90.6787515151515,0.09253969191919188,7659.124579124579,,56.562289562289564,56.23232323232323,0.32996632996632996,0.13804713804713806,0.003367003367003367,1.5736131313131307,2088.4309764309764,2787.811447811448,12.141414141414142,2134.5555555555557,2832.6666666666665,12.04040404040404,-46.12457912457913,-44.85521885521886,0.10101010101010101,0.09090909090909091,0.25252525252525254,0.2558922558922559,0.09764309764309764,0.5723905723905723,0.14814814814814814,3154.3265993265995,4234.319865319865,21.185185185185187,3331.3636363636365,4390.127946127946,21.2996632996633,-177.03703703703704,-155.8080808080808,-0.11447811447811448,0.1447811447811448,0.7441077441077442,0.5218855218855218,0.2356902356902357,1.4579124579124578,0.3501683501683502,Cluster 0
23,8.03,0,sup,2018.0,0.0,1.4188790560471976,7.684365781710914,2157.4306784660766,0.4631268436578171,3.2949852507374633,4.262536873156342,6.793510324483776,14.678466076696164,0.0029498525073746312,0.0,0.0,0.0,0.1976401179941003,0.038348082595870206,0.1592920353982301,0.14454277286135694,0.18370855457227125,0.6075970501474929,,,,,,,,,,,,,,,,,,,,,,,,0.0058997050147492625,0.08849557522123894,4901.407079646017,136.17880353982298,0.08092410088495582,480.03384808259557,539.3869595870209,50.4070796460177,1.3733805309734515,13.551622418879056,0.3682002949852509,16.020648967551622,79.99410029498524,2.1807979351032443,8049.790560471976,3373.0176991150443,91.92188377581122,0.09371668525073745,7642.6401179941,,57.36873156342183,57.02064896755162,0.3480825958702065,0.05014749262536873,0.032448377581120944,1.5909852507374636,2102.548672566372,2785.967551622419,11.548672566371682,2145.407079646018,2833.4867256637167,11.489675516224189,-42.85840707964602,-47.51917404129794,0.058997050147492625,0.11209439528023599,0.27728613569321536,0.2831858407079646,0.12094395280235988,0.5191740412979351,0.17404129793510326,3167.899705014749,4256.1268436578175,20.412979351032448,3304.9085545722714,4318.356932153392,20.607669616519175,-137.00884955752213,-62.230088495575224,-0.19469026548672566,0.16519174041297935,0.7935103244837758,0.5870206489675516,0.23008849557522124,1.2536873156342183,0.40117994100294985,Cluster 0
33,8.04,0,sup,2018.0,0.0,1.4973958333333333,7.630208333333333,2081.4114583333335,0.46875,3.2265625,4.322916666666667,6.9921875,14.6640625,0.005208333333333333,0.0,0.0,0.0,0.16666666666666666,0.036458333333333336,0.13020833333333334,0.109375,0.194784375,0.6350052083333333,,,,,,,,,,,,,,,,,,,,,,,,0.006024096385542169,0.09036144578313253,4528.984375,131.32037161458337,0.08172216588541663,443.7305828125002,501.4314927710843,50.5390625,1.4238807291666664,11.424479166666666,0.32629140625,15.395833333333334,78.15963855421687,2.2081768072289143,7837.044270833333,3315.359375,93.7554239583334,0.09676927499999997,7400.169270833333,,54.0546875,53.794270833333336,0.2604166666666667,0.0703125,0.033854166666666664,1.5690763020833343,2127.34375,2784.8776041666665,11.609375,2196.1822916666665,2836.5963541666665,10.924479166666666,-68.83854166666667,-51.71875,0.6848958333333334,0.10416666666666667,0.375,0.3255208333333333,0.1640625,0.6328125,0.19791666666666666,3223.0911458333335,4252.1796875,20.682291666666668,3402.6901041666665,4337.0859375,19.6875,-179.59895833333334,-84.90625,0.9947916666666666,0.22135416666666666,0.9583333333333334,0.6588541666666666,0.3072916666666667,1.4739583333333333,0.4635416666666667,Cluster 0
43,8.05,0,sup,2018.0,0.3295964125560538,1.9237668161434978,7.7690582959641254,2066.3026905829597,0.484304932735426,3.596412556053812,4.540358744394619,7.4641255605381165,15.81390134529148,0.011210762331838564,0.0,0.0,0.0,0.1726457399103139,0.033632286995515695,0.13901345291479822,0.10762331838565023,0.211185201793722,0.6881322869955163,,,,,,,,,,,,,,,,,,,,,,,,0.0027397260273972603,0.07671232876712329,5048.665919282511,145.8638390134528,0.08588082112107623,456.97630762331823,476.9750032876709,47.87668161434978,1.3615239910313905,10.585201793721973,0.30375672645739915,15.141255605381167,74.52876712328766,2.124863287671234,7635.755605381166,3144.908071748879,89.11488834080721,0.09277053183856494,7231.860986547085,,48.46636771300449,48.18834080717489,0.27802690582959644,0.10762331838565023,0.03811659192825112,1.3988271300448423,2044.3139013452915,2761.3878923766815,10.753363228699552,2098.964125560538,2816.195067264574,10.582959641255606,-54.65022421524664,-54.80717488789238,0.17040358744394618,0.1210762331838565,0.40582959641255606,0.33408071748878926,0.18385650224215247,0.6748878923766816,0.226457399103139,3109.3273542600896,4231.955156950673,18.706278026905828,3267.2713004484303,4331.697309417041,18.91031390134529,-157.94394618834082,-99.74215246636771,-0.2040358744394619,0.21748878923766815,1.0269058295964126,0.7713004484304933,0.2914798206278027,1.7085201793721974,0.5179372197309418,Cluster 0
53,8.06,0,sup,2018.0,0.4584837545126354,2.0974729241877257,7.617328519855596,2059.115523465704,0.4259927797833935,3.191335740072202,4.51985559566787,7.368231046931408,15.205776173285198,0.0036101083032490976,0.0,0.0,0.0,0.1407942238267148,0.02527075812274368,0.11552346570397112,0.09747292418772563,0.2079043321299638,0.6663111913357396,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.058823529411764705,5181.613718411552,150.74069999999986,0.09097254223826715,447.67020433212974,471.10174,50.81588447653429,1.4453198555956681,10.938628158844764,0.3134176895306859,16.299638989169676,77.17647058823529,2.208509019607843,7798.599277978339,3322.3935018050543,94.49015090252706,0.0978592090252708,7301.768953068592,,50.44765342960289,50.08664259927798,0.36101083032490977,0.07220216606498195,0.021660649819494584,1.459942599277978,2066.191335740072,2780.7039711191337,10.808664259927799,2110.682310469314,2822.9350180505417,10.296028880866427,-44.49097472924188,-42.231046931407946,0.5126353790613718,0.07220216606498195,0.37545126353790614,0.26353790613718414,0.09747292418772563,0.5379061371841155,0.1588447653429603,3206.1335740072204,4245.938628158845,19.37184115523466,3373.086642599278,4350.87725631769,18.660649819494584,-166.95306859205778,-104.93862815884476,0.7111913357400722,0.148014440433213,0.9494584837545126,0.6462093862815884,0.24548736462093862,1.5342960288808665,0.36823104693140796,Cluster 0
63,8.07,0,sup,2018.0,0.0,2.3333333333333335,7.222222222222222,2010.2222222222222,0.4444444444444444,2.5555555555555554,4.333333333333333,6.333333333333333,13.777777777777779,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1829333333333333,0.6037,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5577.555555555556,162.82715555555558,0.0837438888888889,407.50044444444444,441.2498111111111,46.55555555555556,1.3587444444444445,8.555555555555555,0.2563333333333333,16.0,70.55555555555556,2.062466666666667,7425.333333333333,3048.6666666666665,87.26026666666665,0.09501905555555556,7125.0,,51.0,50.888888888888886,0.1111111111111111,0.0,0.0,1.4747222222222223,2019.7777777777778,2634.5555555555557,10.666666666666666,2067.6666666666665,2865.3333333333335,9.777777777777779,-47.888888888888886,-230.77777777777777,0.8888888888888888,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.1111111111111111,3158.0,4214.555555555556,18.0,3167.1111111111113,4331.666666666667,17.333333333333332,-9.11111111111111,-117.11111111111111,0.6666666666666666,0.2222222222222222,0.8888888888888888,0.5555555555555556,0.1111111111111111,1.2222222222222223,0.4444444444444444,Cluster 0
73,8.08,0,sup,2018.0,0.0,1.44,7.65,1992.68,0.76,3.78,4.81,8.06,16.46,0.01,0.0,0.0,0.0,0.21,0.07,0.14,0.12,0.24026999999999993,0.7539610000000002,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.06,5327.28,161.19346099999999,0.09758438,465.995362,473.676999,44.39,1.3199490000000003,9.61,0.286429,14.49,69.64,2.0611929999999994,7585.64,3245.01,96.35110200000003,0.09851962999999998,7192.83,,42.83,42.46,0.37,0.17,0.0,1.3068870000000006,2147.7,2659.68,9.88,2223.51,2719.11,8.75,-75.81,-59.43,1.13,0.22,0.61,0.49,0.24,1.06,0.36,3294.67,4068.04,17.07,3470.16,4203.26,15.76,-175.49,-135.22,1.31,0.38,1.17,0.98,0.35,2.13,0.61,Cluster 0
83,8.09,0,sup,2018.0,0.0,1.0,8.333333333333334,2060.0,1.3333333333333333,3.6666666666666665,7.0,9.666666666666666,16.666666666666668,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.27666666666666667,0.7712333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7146.333333333333,209.47150000000002,0.12221443333333333,378.17203333333333,251.18150000000003,36.333333333333336,1.0496,10.333333333333334,0.30443333333333333,10.333333333333334,66.66666666666667,1.9466999999999999,7500.666666666667,3022.3333333333335,87.85906666666666,0.09427123333333333,6791.666666666667,,23.666666666666668,23.333333333333332,0.3333333333333333,0.3333333333333333,0.0,0.7026,2119.3333333333335,2836.6666666666665,6.0,2376.3333333333335,2763.0,10.0,-257.0,73.66666666666667,-4.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,3155.0,3911.3333333333335,7.333333333333333,3725.0,4264.0,18.333333333333332,-570.0,-352.6666666666667,-11.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,3.3333333333333335,0.3333333333333333,Cluster 1
93,8.1,0,sup,2018.0,0.0,1.0,7.142857142857143,2064.0,0.5714285714285714,3.7142857142857144,8.714285714285714,13.428571428571429,19.571428571428573,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.3791285714285714,0.9562,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6421.142857142857,180.82045714285712,0.10419251428571429,391.83737142857143,407.2598428571428,38.285714285714285,1.1271285714285713,9.857142857142858,0.28682857142857143,11.142857142857142,69.57142857142857,2.0258714285714285,7821.571428571428,3335.285714285714,96.39302857142856,0.0950837857142857,7342.857142857143,,31.428571428571427,31.428571428571427,0.0,0.0,0.0,0.9232428571428571,2062.4285714285716,2735.5714285714284,6.714285714285714,2060.714285714286,2792.8571428571427,5.428571428571429,1.7142857142857142,-57.285714285714285,1.2857142857142858,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,1.0,0.2857142857142857,3157.8571428571427,4272.714285714285,10.428571428571429,3228.4285714285716,4601.857142857143,10.571428571428571,-70.57142857142857,-329.14285714285717,-0.14285714285714285,0.14285714285714285,1.4285714285714286,0.7142857142857143,0.42857142857142855,2.0,0.42857142857142855,Cluster 0
103,8.11,0,sup,2018.0,0.0,1.607361963190184,7.684049079754601,1897.9601226993866,0.6533742331288344,3.184049079754601,4.269938650306749,7.211656441717792,15.282208588957054,0.012269938650306749,0.0,0.0,0.0,0.18404907975460122,0.046012269938650305,0.13803680981595093,0.10429447852760736,0.22208558282208593,0.718205828220859,,,,,,,,,,,,,,,,,,,,,,,,0.00847457627118644,0.06779661016949153,5018.352760736197,159.20080092024529,0.1096090358895706,379.0045963190185,379.2821733128833,42.31901840490798,1.3075944785276075,10.260736196319018,0.3170800613496933,14.757668711656441,69.37423312883436,2.148171472392639,7102.208588957055,2954.794478527607,91.9702656441718,0.09699402914110429,6687.7760736196315,,46.061349693251536,45.7760736196319,0.2852760736196319,0.08282208588957055,0.03680981595092025,1.4468619631901833,2109.006134969325,2703.5245398773004,10.56441717791411,2209.1625766871166,2787.969325153374,12.177914110429448,-100.15644171779141,-84.44478527607362,-1.6134969325153374,0.15644171779141106,0.5368098159509203,0.4049079754601227,0.23006134969325154,0.803680981595092,0.254601226993865,3232.3282208588957,4086.3282208588957,18.355828220858896,3521.739263803681,4286.328220858895,20.83128834355828,-289.41104294478527,-200.0,-2.4754601226993866,0.2883435582822086,1.2024539877300613,0.8251533742331288,0.4171779141104294,1.98159509202454,0.5214723926380368,Cluster 3
113,8.12,0,sup,2018.0,0.0,1.3476394849785407,7.682403433476395,1968.0944206008583,0.6437768240343348,3.6137339055793993,4.527896995708154,7.888412017167382,16.553648068669528,0.030042918454935622,0.0,0.0,0.0,0.20600858369098712,0.04291845493562232,0.1630901287553648,0.12446351931330472,0.23385493562231768,0.7516223175965665,,,,,,,,,,,,,,,,,,,,,,,,0.008583690987124463,0.06866952789699571,5272.4248927038625,157.438207725322,0.10199034248927039,403.17025536480696,401.1306824034332,43.82403433476395,1.3038309012875542,10.71244635193133,0.31812918454935607,15.068669527896995,74.60944206008584,2.2201072961373383,7412.656652360515,3122.1416309012875,92.53124763948496,0.09675985407725315,6990.806866952789,,47.107296137339056,46.33905579399141,0.7682403433476395,0.30042918454935624,0.09012875536480687,1.4057549356223173,2104.3304721030045,2681.9656652360513,10.763948497854077,2194.974248927039,2733.463519313305,11.545064377682403,-90.64377682403433,-51.497854077253216,-0.7811158798283262,0.0944206008583691,0.4892703862660944,0.3776824034334764,0.2446351931330472,0.7253218884120172,0.2446351931330472,3251.248927038627,4026.1030042918455,18.61802575107296,3486.785407725322,4218.570815450644,20.321888412017167,-235.53648068669528,-192.46781115879827,-1.703862660944206,0.2145922746781116,1.1716738197424892,0.8240343347639485,0.4248927038626609,1.8626609442060085,0.49356223175965663,Cluster 0
