,patch,result,position,year,playoffs,game,playerid,gamelength,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,Cluster
8,8.01,1,sup,2018.0,0.0,1.5460526315789473,7.2368421052631575,2142.3903508771928,0.7456140350877193,1.344298245614035,9.81578947368421,14.230263157894736,6.532894736842105,0.010964912280701754,0.0021929824561403508,0.0,0.0,0.2741228070175439,0.05482456140350877,0.21929824561403508,0.05043859649122807,0.41650000000000026,0.5951752192982456,,,,,,,,,,,,,,,,,,,,,,,,0.08092485549132948,0.005780346820809248,5277.471491228071,150.3598570175439,0.07085625986842105,424.91841425438565,760.0046679190756,51.85964912280702,1.4244388157894745,14.291666666666666,0.39767850877192995,15.817982456140351,91.11271676300578,2.484324566473988,11355.535087719298,6709.451754385965,189.50643640350876,0.1351307436403508,10049.649122807017,,99.45833333333333,98.9342105263158,0.5241228070175439,0.09649122807017543,0.08114035087719298,2.80491557017544,2375.3377192982457,2810.315789473684,25.280701754385966,2325.0438596491226,2781.0833333333335,24.914473684210527,50.29385964912281,29.232456140350877,0.36622807017543857,0.10087719298245613,0.4780701754385965,0.11842105263157894,0.046052631578947366,0.25219298245614036,0.23684210526315788,3772.6140350877195,4337.43201754386,41.98026315789474,3618.4934210526317,4233.776315789473,40.92982456140351,154.12061403508773,103.65570175438596,1.0504385964912282,0.2149122807017544,1.1973684210526316,0.31140350877192985,0.10526315789473684,0.7171052631578947,0.5263157894736842,Cluster 3
18,8.02,1,sup,2018.0,0.0,1.4410774410774412,7.407407407407407,2174.949494949495,0.797979797979798,1.5353535353535352,10.286195286195285,14.65993265993266,6.94949494949495,0.020202020202020204,0.003367003367003367,0.0,0.0,0.3434343434343434,0.04377104377104377,0.2996632996632997,0.10101010101010101,0.42386868686868706,0.6111814814814812,,,,,,,,,,,,,,,,,,,,,,,,0.10483870967741936,0.008064516129032258,5577.572390572391,156.59738888888901,0.07326575703703701,442.922429292929,488.1360306451614,50.90909090909091,1.3821117845117838,12.824915824915825,0.35468080808080804,15.797979797979798,87.63709677419355,2.4042213709677394,9866.087542087542,5153.606060606061,143.9714956228956,0.10914346700336697,8685.06734006734,,57.47811447811448,56.9057239057239,0.5723905723905723,0.08080808080808081,0.15151515151515152,1.5714454545454546,2134.5555555555557,2832.6666666666665,12.04040404040404,2088.4309764309764,2787.811447811448,12.141414141414142,46.12457912457913,44.85521885521886,-0.10101010101010101,0.09764309764309764,0.5723905723905723,0.14814814814814814,0.09090909090909091,0.25252525252525254,0.2558922558922559,3331.3636363636365,4390.127946127946,21.2996632996633,3154.3265993265995,4234.319865319865,21.185185185185187,177.03703703703704,155.8080808080808,0.11447811447811448,0.2356902356902357,1.4579124579124578,0.3501683501683502,0.1447811447811448,0.7441077441077442,0.5218855218855218,Cluster 0
28,8.03,1,sup,2018.0,0.0,1.4188790560471976,7.315634218289086,2157.4306784660766,0.8377581120943953,1.6666666666666667,10.035398230088495,14.660766961651918,6.825958702064897,0.017699115044247787,0.0,0.0,0.0,0.30678466076696165,0.05309734513274336,0.2536873156342183,0.10029498525073746,0.42389144542772916,0.6075970501474929,,,,,,,,,,,,,,,,,,,,,,,,0.08849557522123894,0.0058997050147492625,5849.522123893806,164.79771799410034,0.07688057227138646,441.1300640117994,527.470437758112,50.575221238938056,1.3773557522123903,14.277286135693215,0.3912274336283187,15.887905604719764,87.43952802359883,2.401225368731563,9823.418879056047,5146.646017699115,144.62195250737463,0.10977630560471967,8648.244837758111,,56.08259587020649,55.46017699115044,0.6224188790560472,0.08849557522123894,0.11799410029498525,1.5596041297935113,2145.407079646018,2833.4867256637167,11.489675516224189,2102.548672566372,2785.967551622419,11.548672566371682,42.85840707964602,47.51917404129794,-0.058997050147492625,0.12094395280235988,0.5191740412979351,0.17404129793510326,0.11209439528023599,0.27728613569321536,0.2831858407079646,3304.9085545722714,4318.356932153392,20.607669616519175,3167.899705014749,4256.1268436578175,20.412979351032448,137.00884955752213,62.230088495575224,0.19469026548672566,0.23008849557522124,1.2536873156342183,0.40117994100294985,0.16519174041297935,0.7935103244837758,0.5870206489675516,Cluster 0
38,8.04,1,sup,2018.0,0.0,1.4973958333333333,7.369791666666667,2081.4114583333335,0.875,1.6276041666666667,9.953125,14.6484375,7.002604166666667,0.020833333333333332,0.0,0.0,0.0,0.2786458333333333,0.0703125,0.20833333333333334,0.052083333333333336,0.440221354166667,0.6350052083333333,,,,,,,,,,,,,,,,,,,,,,,,0.09036144578313253,0.006024096385542169,5355.205729166667,157.06974244791664,0.07542743020833333,384.430798697917,463.6866415662652,50.622395833333336,1.426258333333333,11.786458333333334,0.33534010416666643,15.278645833333334,85.01506024096386,2.4025150602409626,9628.106770833334,5106.421875,149.1835585937501,0.11413009583333335,8402.447916666666,,52.174479166666664,51.6484375,0.5260416666666666,0.08854166666666667,0.10416666666666667,1.51855390625,2196.1822916666665,2836.5963541666665,10.924479166666666,2127.34375,2784.8776041666665,11.609375,68.83854166666667,51.71875,-0.6848958333333334,0.1640625,0.6328125,0.19791666666666666,0.10416666666666667,0.375,0.3255208333333333,3402.6901041666665,4337.0859375,19.6875,3223.0911458333335,4252.1796875,20.682291666666668,179.59895833333334,84.90625,-0.9947916666666666,0.3072916666666667,1.4739583333333333,0.4635416666666667,0.22135416666666666,0.9583333333333334,0.6588541666666666,Cluster 0
48,8.05,1,sup,2018.0,0.3295964125560538,1.9237668161434978,7.213004484304933,2066.3026905829597,0.8363228699551569,1.8004484304932735,10.717488789237668,15.809417040358744,7.484304932735426,0.026905829596412557,0.0,0.0,0.0,0.31614349775784756,0.06278026905829596,0.2533632286995516,0.08295964125560538,0.47694843049327335,0.6881322869955163,,,,,,,,,,,,,,,,,,,,,,,,0.07671232876712329,0.0027397260273972603,5611.168161434977,164.81489798206283,0.07684776233183856,410.32735134529116,451.3553865753424,48.737668161434975,1.3935964125560556,11.300448430493274,0.3244201793721974,15.269058295964125,81.43013698630136,2.3360843835616443,9482.087443946188,4991.239910313901,146.6420347533633,0.11177357107623316,8243.486547085202,,50.62780269058296,50.05156950672646,0.5762331838565022,0.04484304932735426,0.09192825112107623,1.4730856502242164,2098.964125560538,2816.195067264574,10.582959641255606,2044.3139013452915,2761.3878923766815,10.753363228699552,54.65022421524664,54.80717488789238,-0.17040358744394618,0.18385650224215247,0.6748878923766816,0.226457399103139,0.1210762331838565,0.40582959641255606,0.33408071748878926,3267.2713004484303,4331.697309417041,18.91031390134529,3109.3273542600896,4231.955156950673,18.706278026905828,157.94394618834082,99.74215246636771,0.2040358744394619,0.2914798206278027,1.7085201793721974,0.5179372197309418,0.21748878923766815,1.0269058295964126,0.7713004484304933,Cluster 0
58,8.06,1,sup,2018.0,0.4584837545126354,2.0974729241877257,7.382671480144404,2059.115523465704,0.8700361010830325,1.6173285198555956,10.205776173285198,15.19494584837545,7.386281588447654,0.02888086642599278,0.0,0.0,0.0,0.27075812274368233,0.036101083032490974,0.23465703971119134,0.05415162454873646,0.4584028880866426,0.6663111913357396,,,,,,,,,,,,,,,,,,,,,,,,0.058823529411764705,0.0,6248.703971119134,184.33926606498187,0.08872858086642604,406.88125595667844,430.269662745098,50.51985559566787,1.4458509025270763,11.490974729241877,0.33022743682310446,15.981949458483754,83.12941176470588,2.39663450980392,9600.046931407942,5123.841155234657,151.4800393501806,0.11519994187725634,8350.072202166066,,50.72924187725632,50.28158844765343,0.44765342960288806,0.09025270758122744,0.061371841155234655,1.4772534296028872,2110.682310469314,2822.9350180505417,10.296028880866427,2066.191335740072,2780.7039711191337,10.808664259927799,44.49097472924188,42.231046931407946,-0.5126353790613718,0.09747292418772563,0.5379061371841155,0.1588447653429603,0.07220216606498195,0.37545126353790614,0.26353790613718414,3373.086642599278,4350.87725631769,18.660649819494584,3206.1335740072204,4245.938628158845,19.37184115523466,166.95306859205778,104.93862815884476,-0.7111913357400722,0.24548736462093862,1.5342960288808665,0.36823104693140796,0.148014440433213,0.9494584837545126,0.6462093862815884,Cluster 0
68,8.07,1,sup,2018.0,0.0,2.3333333333333335,7.777777777777778,2010.2222222222222,0.4444444444444444,1.3333333333333333,9.333333333333334,13.777777777777779,6.333333333333333,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.4207555555555555,0.6037,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5505.888888888889,168.68115555555556,0.08553241111111112,403.0050555555556,494.6764444444444,51.0,1.4452222222222224,9.333333333333334,0.27664444444444447,18.22222222222222,80.44444444444444,2.3294111111111113,8881.0,4504.333333333333,138.0928888888889,0.1089867888888889,7638.888888888889,,43.0,43.0,0.0,0.0,0.0,1.3126333333333333,2067.6666666666665,2865.3333333333335,9.777777777777779,2019.7777777777778,2634.5555555555557,10.666666666666666,47.888888888888886,230.77777777777777,-0.8888888888888888,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.3333333333333333,3167.1111111111113,4331.666666666667,17.333333333333332,3158.0,4214.555555555556,18.0,9.11111111111111,117.11111111111111,-0.6666666666666666,0.1111111111111111,1.2222222222222223,0.4444444444444444,0.2222222222222222,0.8888888888888888,0.5555555555555556,Cluster 0
78,8.08,1,sup,2018.0,0.0,1.44,7.35,1992.68,0.99,1.87,10.78,16.45,8.08,0.01,0.0,0.0,0.0,0.35,0.08,0.27,0.09,0.5136770000000002,0.7539610000000002,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.02,6122.93,186.10427299999992,0.090084099,376.6835510000001,402.4683309999998,43.37,1.2856080000000003,10.84,0.32719199999999987,14.12,76.59,2.2846140000000004,9330.9,4990.27,152.03149000000002,0.11318883499999999,8102.5,,40.23,39.29,0.94,0.21,0.01,1.1999900000000001,2223.51,2719.11,8.75,2147.7,2659.68,9.88,75.81,59.43,-1.13,0.24,1.06,0.36,0.22,0.61,0.49,3470.16,4203.26,15.76,3294.67,4068.04,17.07,175.49,135.22,-1.31,0.35,2.13,0.61,0.38,1.17,0.98,Cluster 0
88,8.09,1,sup,2018.0,0.0,1.0,6.666666666666667,2060.0,1.0,2.6666666666666665,12.333333333333334,16.666666666666668,9.666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.49459999999999993,0.7712333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7619.333333333333,219.658,0.10789713333333333,471.41253333333333,587.9010333333333,39.666666666666664,1.1580333333333332,7.666666666666667,0.21960000000000002,8.666666666666666,77.0,2.2254,9772.666666666666,5294.333333333333,155.93696666666668,0.11923923333333335,8273.333333333334,,46.333333333333336,46.333333333333336,0.0,0.0,0.0,1.3949333333333331,2376.3333333333335,2763.0,10.0,2119.3333333333335,2836.6666666666665,6.0,257.0,-73.66666666666667,4.0,0.6666666666666666,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,3725.0,4264.0,18.333333333333332,3155.0,3911.3333333333335,7.333333333333333,570.0,352.6666666666667,11.0,0.6666666666666666,3.3333333333333335,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,Cluster 2
98,8.1,1,sup,2018.0,0.0,1.0,7.857142857142857,2064.0,1.5714285714285714,2.7142857142857144,11.0,19.571428571428573,13.428571428571429,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.5770714285714285,0.9562,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5282.428571428572,158.78208571428573,0.07636518571428572,313.5484571428571,302.46817142857145,32.285714285714285,0.9301,8.571428571428571,0.2475857142857143,11.0,69.57142857142857,1.999957142857143,9491.142857142857,5004.857142857143,146.38045714285713,0.10969011428571429,8517.857142857143,,30.857142857142858,29.0,1.8571428571428572,0.7142857142857143,0.0,0.8967571428571428,2060.714285714286,2792.8571428571427,5.428571428571429,2062.4285714285716,2735.5714285714284,6.714285714285714,-1.7142857142857142,57.285714285714285,-1.2857142857142858,0.14285714285714285,1.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,3228.4285714285716,4601.857142857143,10.571428571428571,3157.8571428571427,4272.714285714285,10.428571428571429,70.57142857142857,329.14285714285717,0.14285714285714285,0.42857142857142855,2.0,0.42857142857142855,0.14285714285714285,1.4285714285714286,0.7142857142857143,Cluster 0
