,patch,result,year,playoffs,game,playerid,gamelength,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,Cluster
0,8.01,0,2018.0,0.0,1.5460526315789473,155.26315789473685,2142.3903508771928,6.517543859649122,14.232456140350877,15.570175438596491,6.517543859649122,14.232456140350877,0.44298245614035087,0.06140350877192982,0.0043859649122807015,0.0,0.38596491228070173,,,,0.17867785087719315,0.5951752192982456,0.3876651982378855,0.8070175438596491,1.7236842105263157,0.7214912280701754,1.5592105263157894,0.18201754385964913,0.18201754385964913,0.18201754385964913,0.17543859649122806,,0.08552631578947369,0.16447368421052633,0.3182844243792325,0.3092105263157895,0.48903508771929827,0.1696035242290749,0.3223684210526316,1.3333333333333333,0.3223684210526316,2.6732456140350878,9.682017543859649,0.2675438596491228,0.23684210526315788,0.2236842105263158,2.1666666666666665,63099.600877192985,1711.3392907894724,,2809.074796271933,2998.1169054913303,165.62061403508773,4.576903508771928,67.48684210526316,1.8413767543859643,39.0921052631579,325.4161849710983,8.768740173410404,61677.53070175439,38447.15131578947,1060.3988067982461,,59170.587719298244,-0.11032828022807012,,1118.635838150289,186.02850877192984,134.85526315789474,11.741228070175438,35.91035809248558,15598.905701754386,18550.48245614035,336.75877192982455,16116.673245614034,18881.46052631579,343.49342105263156,-517.7675438596491,-330.9780701754386,-6.734649122807017,0.756578947368421,1.1798245614035088,1.3267543859649122,1.3267543859649122,2.043859649122807,0.7609649122807017,24305.49342105263,29560.572368421053,538.219298245614,25544.08552631579,30254.58552631579,552.109649122807,-1238.592105263158,-694.0131578947369,-13.890350877192983,1.7280701754385965,3.050438596491228,2.7478070175438596,2.7478070175438596,4.923245614035087,1.736842105263158,Cluster 1
2,8.02,0,2018.0,0.0,1.4410774410774412,151.85185185185185,2174.949494949495,6.9326599326599325,14.666666666666666,16.373737373737374,6.9326599326599325,14.666666666666666,0.5555555555555556,0.08417508417508418,0.013468013468013467,0.0,0.367003367003367,,,,0.18731212121212126,0.6111814814814812,0.35374149659863946,0.98989898989899,1.9393939393939394,0.9158249158249159,1.7676767676767677,0.265993265993266,0.18855218855218855,0.2356902356902357,0.2255892255892256,,0.07407407407407407,0.1717171717171717,0.3508771929824561,0.3367003367003367,0.5117845117845118,0.15878378378378377,0.3333333333333333,1.3905723905723906,0.32323232323232326,2.723905723905724,9.542087542087542,0.25252525252525254,0.19865319865319866,0.21885521885521886,2.228956228956229,64872.969696969696,1730.6256902356915,,2863.7605383838386,2639.797630645162,156.74410774410774,4.2845649831649855,60.7003367003367,1.6293969696969697,40.83501683501684,298.31451612903226,8.102715322580647,59532.83838383838,35970.377104377105,974.6723723905727,,57423.77777777778,-0.11821593326599325,,1055.4233870967741,186.12121212121212,135.5151515151515,10.033670033670033,34.145571774193556,15172.030303030304,18542.737373737375,324.7609427609428,15690.905723905724,18850.515151515152,331.18518518518516,-518.8754208754209,-307.77777777777777,-6.424242424242424,0.7609427609427609,1.1346801346801347,1.3198653198653199,1.3164983164983164,2.1077441077441077,0.7609427609427609,23434.037037037036,29471.76767676768,516.8350168350169,24782.548821548822,30237.55892255892,530.03367003367,-1348.5117845117845,-765.7912457912458,-13.198653198653199,1.6666666666666667,2.962962962962963,2.8754208754208754,2.872053872053872,5.427609427609427,1.67003367003367,Cluster 1
4,8.03,0,2018.0,0.0,1.4057142857142857,153.42857142857142,2159.1,6.84,14.711428571428572,16.545714285714286,6.84,14.711428571428572,0.5457142857142857,0.054285714285714284,0.008571428571428572,0.0,0.37142857142857144,,,,0.18481685714285698,0.6087177142857144,0.34195402298850575,1.0485714285714285,2.4514285714285715,0.9657142857142857,2.2457142857142856,0.2885714285714286,0.24571428571428572,0.2257142857142857,0.2057142857142857,,0.08285714285714285,0.2057142857142857,0.2542857142857143,0.2542857142857143,0.5485714285714286,0.13142857142857142,0.31142857142857144,1.3857142857142857,0.3,2.5914285714285716,9.657142857142857,0.23714285714285716,0.20285714285714285,0.15142857142857144,2.142857142857143,64785.40571428571,1747.7108839999985,,2854.928142857145,2713.732651714288,162.52857142857144,4.466067999999999,63.07142857142857,1.7041679999999992,42.822857142857146,305.60285714285715,8.328554857142858,59008.14857142857,35607.334285714285,975.6748045714289,,56598.025714285715,-0.11641081209714274,,1052.837142857143,185.11714285714285,136.98857142857142,9.145714285714286,34.30111542857142,15292.102857142858,18677.768571428573,325.7314285714286,15740.542857142857,18958.27142857143,332.51428571428573,-448.44,-280.5028571428571,-6.782857142857143,0.8142857142857143,1.2285714285714286,1.3114285714285714,1.3057142857142856,2.02,0.8228571428571428,23558.28,29672.87714285714,520.0314285714286,24694.934285714287,30349.24,534.2057142857143,-1136.6542857142856,-676.3628571428571,-14.174285714285714,1.697142857142857,3.0885714285714285,2.662857142857143,2.6514285714285712,4.8028571428571425,1.7057142857142857,Cluster 1
6,8.04,0,2018.0,0.0,1.4823232323232323,152.77777777777777,2076.459595959596,6.98989898989899,14.684343434343434,16.633838383838384,6.98989898989899,14.684343434343434,0.43434343434343436,0.05303030303030303,0.012626262626262626,0.0,0.3939393939393939,,,,0.1951714646464646,0.6368121212121212,0.32741116751269034,0.9015151515151515,2.0656565656565657,0.8207070707070707,1.9015151515151516,0.21212121212121213,0.19444444444444445,0.1893939393939394,0.22474747474747475,,0.08080808080808081,0.16414141414141414,0.3289817232375979,0.3181818181818182,0.5176767676767676,0.16751269035532995,0.3005050505050505,1.3232323232323233,0.30808080808080807,2.643939393939394,9.474747474747474,0.22474747474747475,0.1919191919191919,0.18686868686868688,2.1818181818181817,59256.57828282828,1659.7447550505049,,2839.946001262627,2912.418132848837,135.08333333333334,3.8557143939393934,50.30808080808081,1.4150462121212126,41.313131313131315,247.8139534883721,7.008485465116283,56352.06060606061,33794.169191919194,961.8731303030303,,54140.055555555555,-0.11505831689141419,,985.1046511627907,181.07070707070707,134.12373737373738,8.219696969696969,33.5488648255814,15322.068181818182,18671.118686868685,322.69191919191917,15793.724747474747,19002.053030303032,328.95959595959596,-471.65656565656565,-330.9343434343434,-6.267676767676767,1.0252525252525253,1.5606060606060606,1.5681818181818181,1.5606060606060606,2.5454545454545454,1.0277777777777777,23571.7297979798,29598.25505050505,514.1691919191919,24843.79292929293,30387.14898989899,526.310606060606,-1272.0631313131314,-788.8939393939394,-12.141414141414142,2.0707070707070705,3.707070707070707,3.234848484848485,3.227272727272727,5.803030303030303,2.0782828282828283,Cluster 3
8,8.05,0,2018.0,0.3347732181425486,1.9244060475161988,155.5075593952484,2062.6803455723543,7.447084233261339,15.788336933045356,17.43196544276458,7.447084233261339,15.788336933045356,0.5140388768898488,0.047516198704103674,0.01079913606911447,0.0,0.3563714902807775,,,,0.2109473002159828,0.688079265658748,0.36363636363636365,0.8920086393088553,2.0302375809935205,0.8358531317494601,1.898488120950324,0.17062634989200864,0.24622030237580994,0.183585313174946,0.23542116630669546,,0.056155507559395246,0.13174946004319654,0.3325892857142857,0.32181425485961124,0.5680345572354212,0.1561822125813449,0.2526997840172786,1.3174946004319654,0.2937365010799136,2.7062634989200864,9.578833693304535,0.27429805615550756,0.20518358531317496,0.15766738660907129,2.1706263498920086,61269.58747300216,1733.1911220302363,,2896.7579477321806,2863.312173821989,130.10583153347733,3.7437615550755945,48.15550755939525,1.3615524838012976,42.01295896328294,240.17801047120417,6.852029057591621,55629.62634989201,33212.291576673866,951.8666580993521,,53333.058315334776,-0.11852134950323981,,963.4554973821989,177.12742980561555,131.89416846652267,7.788336933045357,33.02761780104708,15130.406047516199,18519.155507559397,318.1749460043197,15683.3282937365,18934.879049676027,326.81425485961125,-552.9222462203023,-415.72354211663065,-8.639308855291576,1.1058315334773219,1.6263498920086392,1.7580993520518358,1.755939524838013,2.710583153347732,1.1058315334773219,23361.777537796977,29415.44492440605,506.6522678185745,24672.488120950326,30227.421166306696,521.0107991360691,-1310.7105831533477,-811.9762419006479,-14.3585313174946,2.222462203023758,3.8552915766738662,3.533477321814255,3.529157667386609,6.501079913606912,2.222462203023758,Cluster 3
10,8.06,0,2018.0,0.4584837545126354,2.0974729241877257,152.34657039711192,2059.115523465704,7.368231046931408,15.205776173285198,17.209386281588447,7.368231046931408,15.205776173285198,0.4620938628158845,0.061371841155234655,0.01444043321299639,0.0,0.3574007220216607,,,,0.2079043321299638,0.6663111913357396,0.36823104693140796,1.0216606498194947,2.3465703971119134,0.9675090252707581,2.223826714801444,0.24187725631768953,0.24548736462093862,0.2527075812274368,0.22743682310469315,,0.05415162454873646,0.12274368231046931,0.28832116788321166,0.2851985559566787,0.5740072202166066,0.13818181818181818,0.26353790613718414,1.2527075812274369,0.296028880866426,2.5703971119133575,9.588447653429602,0.2779783393501805,0.18411552346570398,0.18411552346570398,2.050541516245487,59274.24548736462,1684.5790851985582,,2831.3555187725633,2684.714043529414,134.9638989169675,3.87201588447653,49.27797833935018,1.3957631768953065,43.75451263537906,245.98431372549018,7.0289839215686225,55802.1119133574,33421.13718411553,959.3454371841157,,53398.45848375451,-0.11698250937184111,,965.2509803921569,177.8880866425993,131.6173285198556,8.407942238267148,33.30479529411765,15130.180505415163,18524.62454873646,318.4657039711191,15625.155234657039,18847.061371841155,326.3610108303249,-494.97472924187724,-322.43682310469313,-7.8953068592057765,1.03971119133574,1.55956678700361,1.5848375451263539,1.5776173285198556,2.2057761732851984,1.0469314079422383,23372.425992779783,29325.794223826713,506.51624548736464,24661.94584837545,30038.92418772563,519.9927797833935,-1289.5198555956679,-713.1299638989169,-13.47653429602888,2.0577617328519855,3.6534296028880866,3.267148014440433,3.259927797833935,5.722021660649819,2.064981949458484,Cluster 3
12,8.07,0,2018.0,0.0,2.3333333333333335,144.44444444444446,2010.2222222222222,6.333333333333333,13.777777777777779,16.444444444444443,6.333333333333333,13.777777777777779,0.4444444444444444,0.0,0.0,0.0,0.3333333333333333,,,,0.1829333333333333,0.6037,0.1111111111111111,1.0,2.4444444444444446,0.8888888888888888,2.3333333333333335,0.4444444444444444,0.0,0.2222222222222222,0.2222222222222222,,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.0,0.1111111111111111,1.4444444444444444,0.5555555555555556,2.3333333333333335,10.222222222222221,0.3333333333333333,0.2222222222222222,0.2222222222222222,2.5555555555555554,63396.333333333336,1832.475577777778,,2731.5795444444443,2447.474777777778,114.0,3.3558333333333334,39.44444444444444,1.140766666666667,40.77777777777778,215.88888888888889,6.336622222222221,52789.444444444445,30907.222222222223,906.2339,,50647.666666666664,-0.13327132222222224,,910.1111111111111,162.77777777777777,121.0,8.777777777777779,32.110077777777775,14797.111111111111,17938.333333333332,301.8888888888889,15161.666666666666,18355.11111111111,317.6666666666667,-364.55555555555554,-416.77777777777777,-15.777777777777779,1.1111111111111112,1.6666666666666667,1.4444444444444444,1.4444444444444444,1.6666666666666667,1.1111111111111112,23337.666666666668,28933.666666666668,495.6666666666667,23893.11111111111,29460.777777777777,510.55555555555554,-555.4444444444445,-527.1111111111111,-14.88888888888889,2.111111111111111,4.555555555555555,2.6666666666666665,2.6666666666666665,4.333333333333333,2.111111111111111,Cluster 2
14,8.08,0,2018.0,0.0,1.4285714285714286,152.0408163265306,1985.9489795918366,7.755102040816326,16.183673469387756,17.306122448979593,7.755102040816326,16.183673469387756,0.5,0.08163265306122448,0.02040816326530612,0.01020408163265306,0.3673469387755102,,,,0.23510510204081628,0.7442387755102042,0.31958762886597936,0.8571428571428571,2.63265306122449,0.8367346938775511,2.5,0.16326530612244897,0.21428571428571427,0.17346938775510204,0.2857142857142857,,0.02040816326530612,0.1326530612244898,0.336734693877551,0.336734693877551,0.5510204081632653,0.12244897959183673,0.15306122448979592,1.2857142857142858,0.22448979591836735,2.693877551020408,9.795918367346939,0.23469387755102042,0.21428571428571427,0.21428571428571427,2.316326530612245,55332.45918367347,1637.9981642857142,,2792.0329530612235,2606.5360010204095,122.13265306122449,3.6646520408163274,43.54081632653061,1.2878244897959188,41.10204081632653,225.01020408163265,6.6858367346938765,53852.316326530614,32217.632653061224,962.4462683673466,,52022.82653061225,-0.11951174999999997,,918.6734693877551,172.42857142857142,124.64285714285714,11.153061224489797,32.77538775510204,15127.224489795919,18249.29591836735,308.0,15922.92857142857,18644.551020408162,314.3673469387755,-795.704081632653,-395.2551020408163,-6.36734693877551,1.489795918367347,2.316326530612245,2.3877551020408165,2.377551020408163,3.622448979591837,1.489795918367347,23463.214285714286,29053.183673469386,492.6734693877551,25191.622448979593,29989.326530612245,506.6734693877551,-1728.408163265306,-936.1428571428571,-14.0,2.683673469387755,4.5,4.326530612244898,4.316326530612245,7.1938775510204085,2.683673469387755,Cluster 0
16,8.09,0,2018.0,0.0,1.0,180.0,1969.0,7.7,17.8,17.3,7.7,17.8,0.4,0.0,0.0,0.0,0.2,,,,0.22973,0.7812599999999998,0.5,0.9,2.5,0.9,2.5,0.3,0.4,0.1,0.1,,0.0,0.0,0.1,0.1,0.6,0.0,0.0,1.0,0.2,2.3,9.7,0.1,0.1,0.1,2.1,54895.7,1668.4467499999998,,2718.5042000000003,2227.8338800000006,94.7,2.8913700000000007,30.5,0.9241700000000002,28.7,187.9,5.689350000000001,51717.4,30255.6,916.2664200000002,,48770.2,-0.17059279999999996,,857.9,162.9,125.8,6.6,31.04108,14689.1,18335.1,297.8,15364.7,18602.8,319.3,-675.6,-267.7,-21.5,1.0,1.4,1.9,1.9,2.2,1.1,22756.9,28957.2,466.0,25084.2,30219.4,508.0,-2327.3,-1262.2,-42.0,2.4,3.7,4.4,4.4,6.2,2.5,Cluster 0
18,8.1,0,2018.0,0.0,1.0,150.0,2027.5,13.833333333333334,19.25,30.416666666666668,13.833333333333334,19.25,1.1666666666666667,0.0,0.0,0.0,0.6666666666666666,,,,0.3985916666666667,0.9799000000000001,0.3333333333333333,0.9166666666666666,2.5833333333333335,0.8333333333333334,2.5,0.08333333333333333,0.4166666666666667,0.25,0.08333333333333333,,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.16666666666666666,1.4166666666666667,0.16666666666666666,3.0833333333333335,10.0,0.3333333333333333,0.25,0.25,2.6666666666666665,58832.75,1711.3809916666667,,2890.7073416666663,2701.3948666666665,92.16666666666667,2.740608333333333,31.166666666666668,0.923975,32.25,206.41666666666666,6.12115,56586.0,34527.416666666664,1016.0305333333332,,53448.416666666664,-0.10948496666666668,,877.5,165.66666666666666,113.16666666666667,13.333333333333334,30.855308333333337,15283.916666666666,18203.333333333332,295.8333333333333,15316.5,18198.583333333332,299.3333333333333,-32.583333333333336,4.75,-3.5,2.3333333333333335,3.0833333333333335,2.0833333333333335,2.0833333333333335,3.0833333333333335,2.3333333333333335,24070.5,29208.916666666668,468.5,24634.166666666668,29670.333333333332,480.4166666666667,-563.6666666666666,-461.4166666666667,-11.916666666666666,4.416666666666667,6.75,4.25,4.25,7.25,4.416666666666667,Cluster 3
