,patch,result,year,playoffs,game,playerid,gamelength,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,Cluster
1,8.01,1,2018.0,0.0,1.5460526315789473,144.73684210526315,2142.3903508771928,14.230263157894736,6.532894736842105,36.96491228070175,14.230263157894736,6.532894736842105,1.625,0.32456140350877194,0.07456140350877193,0.021929824561403508,0.6140350877192983,,,,0.41650000000000026,0.5951752192982456,0.6123348017621145,1.7236842105263157,0.8070175438596491,1.5592105263157894,0.7214912280701754,0.3969298245614035,0.36403508771929827,0.375,0.4232456140350877,,0.16447368421052633,0.08552631578947369,0.5033860045146726,0.48903508771929827,0.3092105263157895,0.8149779735682819,1.3333333333333333,0.3223684210526316,0.6776315789473685,9.682017543859649,2.6732456140350878,0.7324561403508771,0.7631578947368421,2.1666666666666665,0.2236842105263158,76691.7302631579,2131.7595541666683,,2594.159110087719,2971.8729528901745,168.859649122807,4.6952063596491245,72.53289473684211,1.9857901315789477,41.1578947368421,354.3901734104046,9.663489595375724,72933.12938596492,49702.75,1402.1398111842109,,65401.50657894737,0.11032828022807012,,1143.8092485549132,220.46929824561403,136.27850877192984,27.732456140350877,37.64267572254338,16116.673245614034,18881.46052631579,343.49342105263156,15598.905701754386,18550.48245614035,336.75877192982455,517.7675438596491,330.9780701754386,6.734649122807017,1.3267543859649122,2.043859649122807,0.7609649122807017,0.756578947368421,1.1798245614035088,1.3267543859649122,25544.08552631579,30254.58552631579,552.109649122807,24305.49342105263,29560.572368421053,538.219298245614,1238.592105263158,694.0131578947369,13.890350877192983,2.7478070175438596,4.923245614035087,1.736842105263158,1.7280701754385965,3.050438596491228,2.7478070175438596,Cluster 4
3,8.02,1,2018.0,0.0,1.4410774410774412,148.14814814814815,2174.949494949495,14.65993265993266,6.94949494949495,37.841750841750844,14.65993265993266,6.94949494949495,1.797979797979798,0.35353535353535354,0.05723905723905724,0.003367003367003367,0.632996632996633,,,,0.42386868686868706,0.6111814814814812,0.6462585034013606,1.9393939393939394,0.98989898989899,1.7676767676767677,0.9158249158249159,0.43097643097643096,0.468013468013468,0.39730639730639733,0.4713804713804714,,0.1717171717171717,0.07407407407407407,0.5333333333333333,0.5117845117845118,0.3367003367003367,0.8108108108108109,1.3905723905723906,0.3333333333333333,0.6767676767676768,9.542087542087542,2.723905723905724,0.7474747474747475,0.8013468013468014,2.228956228956229,0.21885521885521886,78597.79797979798,2148.5946043771055,,2660.0602461279454,2537.9473197580623,164.13804713804714,4.484049158249158,65.18518518518519,1.7674946127946125,41.46127946127946,334.1532258064516,9.141245967741932,70917.09090909091,47354.62962962963,1317.0821249158264,,63783.851851851854,0.11821593326599325,,1065.9879032258063,228.85185185185185,139.9090909090909,28.77104377104377,35.787042338709675,15690.905723905724,18850.515151515152,331.18518518518516,15172.030303030304,18542.737373737375,324.7609427609428,518.8754208754209,307.77777777777777,6.424242424242424,1.3164983164983164,2.1077441077441077,0.7609427609427609,0.7609427609427609,1.1346801346801347,1.3198653198653199,24782.548821548822,30237.55892255892,530.03367003367,23434.037037037036,29471.76767676768,516.8350168350169,1348.5117845117845,765.7912457912458,13.198653198653199,2.872053872053872,5.427609427609427,1.67003367003367,1.6666666666666667,2.962962962962963,2.8754208754208754,Cluster 4
5,8.03,1,2018.0,0.0,1.4057142857142857,146.57142857142858,2159.1,14.694285714285714,6.871428571428571,37.74285714285714,14.694285714285714,6.871428571428571,1.76,0.34,0.07714285714285714,0.02857142857142857,0.6285714285714286,,,,0.4239037142857148,0.6087177142857144,0.6580459770114943,2.4514285714285715,1.0485714285714285,2.2457142857142856,0.9657142857142857,0.6171428571428571,0.5057142857142857,0.6,0.5228571428571429,,0.2057142857142857,0.08285714285714285,0.5485714285714286,0.5485714285714286,0.2542857142857143,0.8542857142857143,1.3857142857142857,0.31142857142857144,0.7,9.657142857142857,2.5914285714285716,0.7628571428571429,0.7971428571428572,2.142857142857143,0.15142857142857144,78241.45142857142,2157.2023408571426,,2644.912892571428,2823.235451999999,167.5857142857143,4.618801714285713,67.82571428571428,1.8457259999999993,44.07142857142857,340.86571428571426,9.370786285714283,70312.31714285714,46911.502857142856,1314.569886285713,,62857.21142857143,0.11641081209714274,,1065.6942857142858,224.1942857142857,137.57714285714286,27.965714285714284,35.944777999999964,15740.542857142857,18958.27142857143,332.51428571428573,15292.102857142858,18677.768571428573,325.7314285714286,448.44,280.5028571428571,6.782857142857143,1.3057142857142856,2.02,0.8228571428571428,0.8142857142857143,1.2285714285714286,1.3114285714285714,24694.934285714287,30349.24,534.2057142857143,23558.28,29672.87714285714,520.0314285714286,1136.6542857142856,676.3628571428571,14.174285714285714,2.6514285714285712,4.8028571428571425,1.7057142857142857,1.697142857142857,3.0885714285714285,2.662857142857143,Cluster 4
7,8.04,1,2018.0,0.0,1.4823232323232323,147.22222222222223,2076.459595959596,14.669191919191919,7.005050505050505,37.2020202020202,14.669191919191919,7.005050505050505,1.792929292929293,0.3383838383838384,0.05808080808080808,0.010101010101010102,0.6060606060606061,,,,0.4416411616161621,0.6368121212121212,0.6725888324873096,2.0656565656565657,0.9015151515151515,1.9015151515151516,0.8207070707070707,0.5,0.4444444444444444,0.4797979797979798,0.4772727272727273,,0.16414141414141414,0.08080808080808081,0.5352480417754569,0.5176767676767676,0.3181818181818182,0.817258883248731,1.3232323232323233,0.3005050505050505,0.6919191919191919,9.474747474747474,2.643939393939394,0.7752525252525253,0.8080808080808081,2.1818181818181817,0.18686868686868688,73196.3813131313,2089.9252926767685,,2572.627769191918,2801.6234581395365,141.17929292929293,4.046592424242422,55.484848484848484,1.5668500000000005,43.06565656565657,283.23837209302326,8.04739854651162,67298.67929292929,44740.78787878788,1304.746731818182,,59949.76262626263,0.11505831689141419,,998.2587209302326,216.0252525252525,136.92929292929293,23.095959595959595,35.06907819767441,15793.724747474747,19002.053030303032,328.95959595959596,15322.068181818182,18671.118686868685,322.69191919191917,471.65656565656565,330.9343434343434,6.267676767676767,1.5606060606060606,2.5454545454545454,1.0277777777777777,1.0252525252525253,1.5606060606060606,1.5681818181818181,24843.79292929293,30387.14898989899,526.310606060606,23571.7297979798,29598.25505050505,514.1691919191919,1272.0631313131314,788.8939393939394,12.141414141414142,3.227272727272727,5.803030303030303,2.0782828282828283,2.0707070707070705,3.707070707070707,3.234848484848485,Cluster 1
9,8.05,1,2018.0,0.3347732181425486,1.9244060475161988,144.4924406047516,2062.6803455723543,15.781857451403887,7.466522678185745,40.21598272138229,15.781857451403887,7.466522678185745,1.9308855291576674,0.38444924406047515,0.07991360691144708,0.019438444924406047,0.6436285097192225,,,,0.47713369330453537,0.688079265658748,0.6363636363636364,2.0302375809935205,0.8920086393088553,1.898488120950324,0.8358531317494601,0.5032397408207343,0.46004319654427644,0.4838012958963283,0.4514038876889849,,0.13174946004319654,0.056155507559395246,0.5870535714285714,0.5680345572354212,0.32181425485961124,0.8308026030368764,1.3174946004319654,0.2526997840172786,0.7062634989200864,9.578833693304535,2.7062634989200864,0.7257019438444925,0.7948164146868251,2.1706263498920086,0.15766738660907129,75003.29373650107,2157.601198272137,,2685.397287688984,2812.2727028795807,136.8963282937365,3.9615064794816415,51.9719222462203,1.4764773218142553,42.52699784017279,274.0418848167539,7.862368586387437,66981.68466522679,44564.34989200864,1307.4918699784014,,59333.75809935205,0.11852134950323981,,980.4502617801047,216.15550755939526,134.18574514038878,24.645788336933045,34.78773560209423,15683.3282937365,18934.879049676027,326.81425485961125,15130.406047516199,18519.155507559397,318.1749460043197,552.9222462203023,415.72354211663065,8.639308855291576,1.755939524838013,2.710583153347732,1.1058315334773219,1.1058315334773219,1.6263498920086392,1.7580993520518358,24672.488120950326,30227.421166306696,521.0107991360691,23361.777537796977,29415.44492440605,506.6522678185745,1310.7105831533477,811.9762419006479,14.3585313174946,3.529157667386609,6.501079913606912,2.222462203023758,2.222462203023758,3.8552915766738662,3.533477321814255,Cluster 1
11,8.06,1,2018.0,0.4584837545126354,2.0974729241877257,147.65342960288808,2059.115523465704,15.19494584837545,7.386281588447654,37.57039711191336,15.19494584837545,7.386281588447654,1.8086642599277978,0.3574007220216607,0.05776173285198556,0.010830324909747292,0.6425992779783394,,,,0.4584028880866426,0.6663111913357396,0.631768953068592,2.3465703971119134,1.0216606498194947,2.223826714801444,0.9675090252707581,0.6245487364620939,0.4043321299638989,0.628158844765343,0.5667870036101083,,0.12274368231046931,0.05415162454873646,0.5802919708029197,0.5740072202166066,0.2851985559566787,0.8472727272727273,1.2527075812274369,0.26353790613718414,0.703971119133574,9.588447653429602,2.5703971119133575,0.7220216606498195,0.8158844765342961,2.050541516245487,0.18411552346570398,72444.37184115524,2090.130020577619,,2635.2529386281612,2596.503789803921,139.24548736462094,4.018283754512634,54.68953068592058,1.5570541516245495,44.59205776173285,279.4823529411765,8.060338823529412,67072.84476534296,44691.870036101085,1313.3332555956677,,59366.54873646209,0.11698250937184111,,985.0156862745098,214.1335740072202,132.92418772563178,23.176895306859205,35.036957647058834,15625.155234657039,18847.061371841155,326.3610108303249,15130.180505415163,18524.62454873646,318.4657039711191,494.97472924187724,322.43682310469313,7.8953068592057765,1.5776173285198556,2.2057761732851984,1.0469314079422383,1.03971119133574,1.55956678700361,1.5848375451263539,24661.94584837545,30038.92418772563,519.9927797833935,23372.425992779783,29325.794223826713,506.51624548736464,1289.5198555956679,713.1299638989169,13.47653429602888,3.259927797833935,5.722021660649819,2.064981949458484,2.0577617328519855,3.6534296028880866,3.267148014440433,Cluster 1
13,8.07,1,2018.0,0.0,2.3333333333333335,155.55555555555554,2010.2222222222222,13.777777777777779,6.333333333333333,34.333333333333336,13.777777777777779,6.333333333333333,1.2222222222222223,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6666666666666666,,,,0.4207555555555555,0.6037,0.8888888888888888,2.4444444444444446,1.0,2.3333333333333335,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666,,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.5555555555555556,0.3333333333333333,1.0,1.4444444444444444,0.1111111111111111,0.4444444444444444,10.222222222222221,2.3333333333333335,0.6666666666666666,0.7777777777777778,2.5555555555555554,0.2222222222222222,68215.11111111111,2003.8095666666668,,2833.261,2695.9661666666666,130.33333333333334,3.8146111111111116,43.77777777777778,1.2708222222222223,50.44444444444444,261.3333333333333,7.621955555555555,63879.88888888889,41997.666666666664,1261.5977,,57269.333333333336,0.13327132222222224,,913.7777777777778,204.77777777777777,124.55555555555556,19.77777777777778,33.571533333333335,15161.666666666666,18355.11111111111,317.6666666666667,14797.111111111111,17938.333333333332,301.8888888888889,364.55555555555554,416.77777777777777,15.777777777777779,1.4444444444444444,1.6666666666666667,1.1111111111111112,1.1111111111111112,1.6666666666666667,1.4444444444444444,23893.11111111111,29460.777777777777,510.55555555555554,23337.666666666668,28933.666666666668,495.6666666666667,555.4444444444445,527.1111111111111,14.88888888888889,2.6666666666666665,4.333333333333333,2.111111111111111,2.111111111111111,4.555555555555555,2.6666666666666665,Cluster 3
15,8.08,1,2018.0,0.0,1.4285714285714286,147.9591836734694,1985.9489795918366,16.1734693877551,7.775510204081633,38.12244897959184,16.1734693877551,7.775510204081633,1.836734693877551,0.29591836734693877,0.061224489795918366,0.0,0.6326530612244898,,,,0.5091193877551022,0.7442387755102042,0.6804123711340206,2.63265306122449,0.8571428571428571,2.5,0.8367346938775511,0.5510204081632653,0.6326530612244898,0.6224489795918368,0.6938775510204082,,0.1326530612244898,0.02040816326530612,0.5510204081632653,0.5510204081632653,0.336734693877551,0.8571428571428571,1.2857142857142858,0.15306122448979592,0.7755102040816326,9.795918367346939,2.693877551020408,0.7653061224489796,0.7857142857142857,2.316326530612245,0.21428571428571427,68014.82653061225,2053.1198612244903,,2592.3574091836736,2591.536025510203,126.25510204081633,3.787045918367345,48.0,1.4317612244897957,41.316326530612244,256.0408163265306,7.654184693877551,65581.09183673469,43946.4081632653,1338.5722122448979,,57921.23469387755,0.11951174999999997,,932.3673469387755,209.27551020408163,124.85714285714286,26.989795918367346,34.47069897959184,15922.92857142857,18644.551020408162,314.3673469387755,15127.224489795919,18249.29591836735,308.0,795.704081632653,395.2551020408163,6.36734693877551,2.377551020408163,3.622448979591837,1.489795918367347,1.489795918367347,2.316326530612245,2.3877551020408165,25191.622448979593,29989.326530612245,506.6734693877551,23463.214285714286,29053.183673469386,492.6734693877551,1728.408163265306,936.1428571428571,14.0,4.316326530612245,7.1938775510204085,2.683673469387755,2.683673469387755,4.5,4.326530612244898,Cluster 1
17,8.09,1,2018.0,0.0,1.0,120.0,1969.0,17.8,7.8,36.8,17.8,7.8,2.1,0.4,0.1,0.1,0.8,,,,0.55155,0.7812599999999998,0.5,2.5,0.9,2.5,0.9,0.9,0.3,0.6,0.7,,0.0,0.0,0.6,0.6,0.1,1.0,1.0,0.0,0.8,9.7,2.3,0.9,0.9,2.1,0.1,65808.5,1992.8878299999997,,2585.9825400000004,2348.89602,95.5,2.9225100000000004,38.1,1.15627,31.5,221.5,6.70385,65182.7,43720.9,1335.96992,,57489.6,0.17059279999999996,,936.2,211.0,125.8,25.8,34.93879,15364.7,18602.8,319.3,14689.1,18335.1,297.8,675.6,267.7,21.5,1.9,2.2,1.1,1.0,1.4,1.9,25084.2,30219.4,508.0,22756.9,28957.2,466.0,2327.3,1262.2,42.0,4.4,6.2,2.5,2.4,3.7,4.4,Cluster 0
19,8.1,1,2018.0,0.0,1.0,150.0,2027.5,19.25,13.833333333333334,43.25,19.25,13.833333333333334,2.0833333333333335,0.25,0.0,0.0,0.3333333333333333,,,,0.5812916666666667,0.9799000000000001,0.6666666666666666,2.5833333333333335,0.9166666666666666,2.5,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.8333333333333334,0.4166666666666667,,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.9166666666666666,1.4166666666666667,0.16666666666666666,0.8333333333333334,10.0,3.0833333333333335,0.6666666666666666,0.75,2.6666666666666665,0.25,72697.91666666667,2137.54255,,2559.4399500000004,2404.49145,93.83333333333333,2.764658333333333,33.916666666666664,1.0100166666666666,30.333333333333332,226.0,6.647508333333332,66453.66666666667,44395.083333333336,1326.4529499999996,,59392.5,0.10948496666666668,,868.4166666666666,198.08333333333334,122.16666666666667,23.0,31.727324999999993,15316.5,18198.583333333332,299.3333333333333,15283.916666666666,18203.333333333332,295.8333333333333,32.583333333333336,-4.75,3.5,2.0833333333333335,3.0833333333333335,2.3333333333333335,2.3333333333333335,3.0833333333333335,2.0833333333333335,24634.166666666668,29670.333333333332,480.4166666666667,24070.5,29208.916666666668,468.5,563.6666666666666,461.4166666666667,11.916666666666666,4.25,7.25,4.416666666666667,4.416666666666667,6.75,4.25,Cluster 1
