,patch,result,position,year,playoffs,game,playerid,gamelength,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,Cluster
4,8.01,0,top,2018.0,0.0,1.5460526315789473,3.763157894736842,2142.3903508771928,1.243421052631579,2.9517543859649122,2.7653508771929824,6.517543859649122,14.232456140350877,0.07894736842105263,0.010964912280701754,0.0043859649122807015,0.0,0.17763157894736842,0.06578947368421052,0.1118421052631579,0.14473684210526316,0.17867785087719315,0.5951752192982456,,,,,,,,,,,,,,,,,,,,,,,,0.04335260115606936,0.34971098265895956,14730.671052631578,406.34951578947323,0.24157485745614038,704.1451008771932,753.7432687861271,21.410087719298247,0.5945254385964912,6.8881578947368425,0.18835964912280706,4.2368421052631575,40.335260115606935,1.0890794797687857,13006.366228070176,8360.282894736842,231.60303267543875,0.21837610964912285,12633.223684210527,,303.7872807017544,293.02412280701753,10.763157894736842,5.769736842105263,1.0548245614035088,8.522998026315797,3290.535087719298,4530.184210526316,79.32894736842105,3397.6754385964914,4610.6359649122805,80.77631578947368,-107.14035087719299,-80.45175438596492,-1.4473684210526316,0.1513157894736842,0.21052631578947367,0.3048245614035088,0.26096491228070173,0.30701754385964913,0.20833333333333334,5175.195175438596,7167.598684210527,127.75657894736842,5438.550438596491,7330.910087719299,130.91447368421052,-263.35526315789474,-163.31140350877192,-3.1578947368421053,0.33771929824561403,0.5372807017543859,0.5592105263157895,0.5241228070175439,0.7653508771929824,0.4057017543859649,Cluster 1
14,8.02,0,top,2018.0,0.0,1.4410774410774412,3.5925925925925926,2174.949494949495,1.2794612794612794,3.0235690235690234,2.8013468013468015,6.9326599326599325,14.666666666666666,0.08754208754208755,0.006734006734006734,0.0,0.0,0.12457912457912458,0.06734006734006734,0.05723905723905724,0.16161616161616163,0.18731212121212126,0.6111814814814812,,,,,,,,,,,,,,,,,,,,,,,,0.024193548387096774,0.39919354838709675,15631.084175084176,421.90191447811446,0.2470723952861951,707.2337619528623,712.2721004032257,20.696969696969695,0.5664060606060602,6.057239057239057,0.16063333333333332,4.249158249158249,37.141129032258064,1.0074963709677416,13083.471380471381,8370.9898989899,227.3696545454544,0.23300334680134685,12814.97643097643,,308.84175084175087,296.74747474747477,12.094276094276093,6.457912457912458,1.0707070707070707,8.488532996632998,3266.276094276094,4538.016835016835,79.97979797979798,3392.090909090909,4574.525252525253,80.08754208754209,-125.81481481481481,-36.50841750841751,-0.10774410774410774,0.1447811447811448,0.13131313131313133,0.30976430976430974,0.26262626262626265,0.2760942760942761,0.1717171717171717,5110.181818181818,7166.518518518518,128.04040404040404,5369.3265993265995,7268.801346801347,128.77777777777777,-259.1447811447811,-102.28282828282828,-0.7373737373737373,0.31986531986531985,0.39730639730639733,0.5925925925925926,0.5387205387205387,0.8080808080808081,0.39730639730639733,Cluster 1
24,8.03,0,top,2018.0,0.0,1.4188790560471976,3.6843657817109143,2157.4306784660766,1.2979351032448379,2.864306784660767,2.7640117994100293,6.793510324483776,14.678466076696164,0.07079646017699115,0.0,0.0,0.0,0.15634218289085547,0.06489675516224189,0.09144542772861357,0.15339233038348082,0.18370855457227125,0.6075970501474929,,,,,,,,,,,,,,,,,,,,,,,,0.038348082595870206,0.3333333333333333,15005.884955752212,409.73065604719744,0.24074120383480807,701.3477734513274,799.098206194691,21.07669616519174,0.5786766961651919,5.831858407079646,0.15689911504424775,4.722713864306785,37.77581120943953,1.0275625368731565,12918.13569321534,8241.362831858407,226.6005333333335,0.2318182743362833,12518.132743362832,,305.2094395280236,294.92035398230087,10.289085545722713,5.525073746312684,0.8790560471976401,8.492346607669619,3297.5988200589973,4574.563421828909,79.98525073746313,3361.9882005899703,4612.474926253687,80.95575221238938,-64.38938053097345,-37.91150442477876,-0.9705014749262537,0.1592920353982301,0.1504424778761062,0.26548672566371684,0.1710914454277286,0.26843657817109146,0.20058997050147492,5112.566371681416,7219.834808259587,128.66666666666666,5352.8436578171095,7368.51622418879,132.30383480825958,-240.2772861356932,-148.68141592920355,-3.6371681415929205,0.27728613569321536,0.415929203539823,0.504424778761062,0.4247787610619469,0.6696165191740413,0.35693215339233036,Cluster 1
34,8.04,0,top,2018.0,0.0,1.4973958333333333,3.6302083333333335,2081.4114583333335,1.34375,2.8229166666666665,2.8776041666666665,6.9921875,14.6640625,0.06770833333333333,0.010416666666666666,0.005208333333333333,0.0,0.19270833333333334,0.06510416666666667,0.12760416666666666,0.140625,0.194784375,0.6350052083333333,,,,,,,,,,,,,,,,,,,,,,,,0.012048192771084338,0.24096385542168675,12773.3125,361.54790494791695,0.22135704010416654,730.0266192708337,985.8302409638551,20.752604166666668,0.5875588541666671,5.643229166666667,0.15794218749999986,4.622395833333333,36.894578313253014,1.034016265060241,12247.71875,7726.033854166667,220.33081979166676,0.2286880468750001,11833.783854166666,,286.1901041666667,276.7786458333333,9.411458333333334,4.786458333333333,0.9140625,8.268466666666667,3293.6796875,4556.5859375,79.890625,3330.3776041666665,4577.286458333333,80.24739583333333,-36.697916666666664,-20.700520833333332,-0.3567708333333333,0.1796875,0.25,0.3177083333333333,0.23697916666666666,0.3229166666666667,0.2994791666666667,5104.893229166667,7186.0234375,128.21875,5282.890625,7267.447916666667,129.1171875,-177.99739583333334,-81.42447916666667,-0.8984375,0.3489583333333333,0.5286458333333334,0.5989583333333334,0.5390625,0.7291666666666666,0.4739583333333333,Cluster 2
44,8.05,0,top,2018.0,0.3295964125560538,1.9237668161434978,3.7757847533632285,2066.3026905829597,1.311659192825112,3.123318385650224,3.100896860986547,7.4641255605381165,15.81390134529148,0.06502242152466367,0.004484304932735426,0.0,0.0,0.16143497757847533,0.07623318385650224,0.08520179372197309,0.14349775784753363,0.211185201793722,0.6881322869955163,,,,,,,,,,,,,,,,,,,,,,,,0.03287671232876712,0.273972602739726,13579.181614349776,387.30706524663697,0.22555225403587414,715.6615134529139,921.8350613698638,18.782511210762333,0.5393630044843049,5.002242152466367,0.1416392376681616,4.459641255605381,33.95616438356164,0.967922191780822,12064.580717488789,7573.733183856502,217.73852982062792,0.22854551345291482,11633.282511210762,,283.5470852017937,274.30269058295966,9.24439461883408,4.62780269058296,1.0672645739910314,8.23786412556054,3242.9843049327355,4528.52466367713,78.57847533632287,3300.896860986547,4571.865470852018,79.57847533632287,-57.912556053811656,-43.34080717488789,-1.0,0.21076233183856502,0.273542600896861,0.36995515695067266,0.2645739910313901,0.42152466367713004,0.2937219730941704,5062.959641255606,7160.0,126.71973094170404,5229.625560538117,7250.865470852018,127.67264573991031,-166.6659192825112,-90.86547085201794,-0.952914798206278,0.4147982062780269,0.600896860986547,0.6838565022421524,0.594170403587444,0.9730941704035875,0.5022421524663677,Cluster 2
54,8.06,0,top,2018.0,0.4584837545126354,2.0974729241877257,3.6173285198555956,2059.115523465704,1.1768953068592058,3.07942238267148,2.916967509025271,7.368231046931408,15.205776173285198,0.061371841155234655,0.007220216606498195,0.0,0.0,0.12274368231046931,0.05415162454873646,0.06859205776173286,0.1624548736462094,0.2079043321299638,0.6663111913357396,,,,,,,,,,,,,,,,,,,,,,,,0.0196078431372549,0.27450980392156865,12654.28880866426,365.2356064981951,0.22040981696750897,702.1643418772567,907.9337976470595,18.96389891696751,0.5436158844765341,4.6859205776173285,0.1324169675090253,4.64259927797834,33.5921568627451,0.9572905882352939,11921.707581227436,7445.501805054151,214.79299783393495,0.22422067148014438,11493.151624548736,,281.2238267148014,271.94584837545125,9.277978339350181,4.5451263537906135,0.7148014440433214,8.202445126353785,3183.1119133574007,4487.216606498195,77.01083032490975,3283.7292418772563,4548.5054151624545,78.79061371841155,-100.61732851985559,-61.288808664259925,-1.779783393501805,0.16606498194945848,0.23826714801444043,0.4259927797833935,0.2924187725631769,0.34296028880866425,0.27075812274368233,4957.563176895307,7087.956678700361,124.25992779783394,5193.898916967509,7195.873646209387,126.91696750902527,-236.33574007220216,-107.91696750902527,-2.6570397111913358,0.3212996389891697,0.5415162454873647,0.6750902527075813,0.555956678700361,0.7870036101083032,0.47653429602888087,Cluster 2
64,8.07,0,top,2018.0,0.0,2.3333333333333335,3.2222222222222223,2010.2222222222222,1.4444444444444444,2.888888888888889,2.6666666666666665,6.333333333333333,13.777777777777779,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1829333333333333,0.6037,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2222222222222222,15107.888888888889,454.77031111111114,0.25954866666666665,670.1515111111111,678.5093222222222,14.666666666666666,0.4438222222222222,4.555555555555555,0.12847777777777777,3.0,28.666666666666668,0.8460888888888889,11879.777777777777,7503.111111111111,223.8075888888889,0.2488141111111111,11487.333333333334,,272.6666666666667,259.77777777777777,12.88888888888889,7.888888888888889,1.7777777777777777,8.217211111111112,3224.4444444444443,4435.333333333333,72.77777777777777,3305.1111111111113,4493.555555555556,77.33333333333333,-80.66666666666667,-58.22222222222222,-4.555555555555555,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.1111111111111111,0.3333333333333333,5154.777777777777,7150.777777777777,125.0,5239.888888888889,7235.888888888889,127.77777777777777,-85.11111111111111,-85.11111111111111,-2.7777777777777777,0.4444444444444444,0.8888888888888888,0.4444444444444444,1.0,0.3333333333333333,0.3333333333333333,Cluster 1
74,8.08,0,top,2018.0,0.0,1.44,3.65,1992.68,1.43,3.24,2.92,8.06,16.46,0.13,0.0,0.0,0.0,0.13,0.05,0.08,0.11,0.24026999999999993,0.7539610000000002,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.32,12270.65,361.3633719999998,0.22088937799999997,677.1115500000001,829.4680860000004,17.95,0.5398599999999998,4.37,0.12930900000000004,4.82,32.25,0.96143,11628.24,7287.61,216.47075700000002,0.2239883199999999,11315.91,,273.91,266.85,7.06,2.96,1.29,8.193103,3169.03,4433.84,76.26,3339.66,4517.61,77.46,-170.63,-83.77,-1.2,0.2,0.33,0.52,0.39,0.48,0.31,4954.81,7010.61,122.69,5327.84,7181.88,125.49,-373.03,-171.27,-2.8,0.36,0.65,0.94,0.74,1.02,0.55,Cluster 0
84,8.09,0,top,2018.0,0.0,1.0,4.333333333333333,2060.0,2.0,2.3333333333333335,4.666666666666667,9.666666666666666,16.666666666666668,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.27666666666666667,0.7712333333333333,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11397.333333333334,332.4185,0.17412733333333333,604.3122333333332,1070.2199333333333,15.0,0.4377,3.3333333333333335,0.0966,3.0,25.0,0.7319,11372.666666666666,6894.333333333333,201.9437,0.22120333333333334,10475.0,,266.6666666666667,266.6666666666667,0.0,0.0,0.0,7.823033333333334,3030.6666666666665,4473.333333333333,74.33333333333333,3134.3333333333335,4568.0,79.66666666666667,-103.66666666666667,-94.66666666666667,-5.333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,4705.0,7115.333333333333,120.33333333333333,5111.666666666667,7256.666666666667,126.33333333333333,-406.6666666666667,-141.33333333333334,-6.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.0,Cluster 0
94,8.1,0,top,2018.0,0.0,1.0,3.142857142857143,2064.0,2.2857142857142856,3.4285714285714284,5.142857142857143,13.428571428571429,19.571428571428573,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.3791285714285714,0.9562,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.42857142857142855,12002.42857142857,345.5970285714285,0.20173557142857143,724.3973571428571,942.5764714285714,13.857142857142858,0.3945428571428572,3.4285714285714284,0.09931428571428572,3.4285714285714284,30.285714285714285,0.8754571428571429,12031.857142857143,7545.571428571428,216.26530000000002,0.21279785714285712,11387.142857142857,,263.2857142857143,258.14285714285717,5.142857142857143,0.8571428571428571,0.14285714285714285,7.637842857142857,3172.0,4441.428571428572,75.42857142857143,3154.714285714286,4502.571428571428,77.14285714285714,17.285714285714285,-61.142857142857146,-1.7142857142857142,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,5208.285714285715,7216.428571428572,121.42857142857143,5067.571428571428,7145.428571428572,121.28571428571429,140.71428571428572,71.0,0.14285714285714285,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.14285714285714285,1.0,0.2857142857142857,Cluster 0
